N,Z,observable,derived_keV,official_keV,abs_diff_keV
1,1,Sn_keV,2224.5662,2224.5662,0.0
1,1,Sp_keV,2224.5662,2224.5662,0.0
2,1,Sn_keV,6257.2300000000005,6257.2301,9.999999929277692e-05
2,1,S2n_keV,8481.7962,8481.7963,9.999999929277692e-05
1,2,Sp_keV,5493.47512,5493.4751,2.0000000404252205e-05
1,2,S2p_keV,7718.04132,7718.0413,2.0000000404252205e-05
3,1,Sn_keV,-1599.9998000000005,-1600.0,0.00019999999949504854
3,1,S2n_keV,4657.2302,4657.23,0.00020000000040454324
2,2,Sn_keV,20577.62108,20577.6211,1.9999999494757503e-05
2,2,Sp_keV,19813.8662,19813.8661,0.00010000000111176632
1,3,Sp_keV,-3103.0001200000006,-3102.9999,0.00022000000080879545
1,3,S2p_keV,2390.4749999999995,2390.4751,0.00010000000065701897
4,1,Sn_keV,-200.0003999999999,-200.0,0.0003999999998995918
4,1,S2n_keV,-1800.0002000000004,-1800.0001,0.0001000000004296453
3,2,Sn_keV,-734.9999000000025,-735.0,9.999999747378752e-05
3,2,Sp_keV,20678.8661,20678.8661,0.0
3,2,S2n_keV,19842.62118,19842.621,0.00017999999909079634
3,2,Qalpha_keV,734.9999000000025,735.0,9.999999747378752e-05
2,3,Sn_keV,21715.6213,21715.6211,0.00019999999858555384
2,3,Sp_keV,-1964.9999000000025,-1964.9999,2.5011104298755527e-12
2,3,S2p_keV,17848.866299999998,17848.8662,9.999999747378752e-05
2,3,Qalpha_keV,1964.9999000000025,1964.9999,2.5011104298755527e-12
5,1,Sn_keV,-911.9590000000007,-911.9594,0.00039999999921747076
5,1,S2n_keV,-1111.9594000000006,-1111.9594,6.821210263296962e-13
4,2,Sn_keV,1710.4569000000047,1710.4569,4.774847184307873e-12
4,2,Sp_keV,22589.3234,22589.323,0.0004000000008090865
4,2,S2n_keV,975.4570000000022,975.4569,0.00010000000213494786
3,3,Sn_keV,5663.324699999997,5663.3245,0.00019999999767605914
3,3,Sp_keV,4433.324699999997,4433.3246,9.999999747378752e-05
3,3,S2n_keV,27378.945999999996,27378.9456,0.0003999999971711077
3,3,S2p_keV,25112.190799999997,25112.1907,9.999999747378752e-05
3,3,Qalpha_keV,-1473.7585999999937,-1473.7583,0.0002999999937856046
2,4,Sp_keV,592.8243000000002,592.8241,0.00020000000017716957
2,4,S2p_keV,-1372.1756000000023,-1372.1758,0.00019999999767605914
5,2,Sn_keV,-409.7148000000052,-409.7143,0.0005000000052177711
5,2,Sp_keV,23091.5676,23091.5681,0.0005000000019208528
5,2,S2n_keV,1300.7420999999995,1300.7426,0.0005000000005566108
4,3,Sn_keV,7251.093500000003,7251.0939,0.0003999999971711077
4,3,Sp_keV,9973.961299999995,9973.9616,0.0003000000051542884
4,3,S2n_keV,12914.4182,12914.4184,0.00020000000040454324
4,3,S2p_keV,32563.284699999997,32563.2846,9.999999747378752e-05
4,3,Qalpha_keV,-2467.6221000000005,-2467.6221,4.547473508864641e-13
3,4,Sn_keV,10677.354100000004,10677.3542,9.999999565479811e-05
3,4,Sp_keV,5606.853700000007,5606.8539,0.00019999999312858563
3,4,S2p_keV,10040.178400000004,10040.1785,9.999999565479811e-05
3,4,Qalpha_keV,-1587.137179999998,-1587.1371,7.999999797903001e-05
2,5,Sp_keV,-2012.5482999999986,-2012.5479,0.00039999999853534973
2,5,S2p_keV,-1419.7239999999983,-1419.7238,0.00019999999835818016
6,2,Sn_keV,2534.7634000000035,2534.7627,0.0007000000032348908
6,2,S2n_keV,2125.0485999999983,2125.0484,0.0001999999981308065
5,3,Sn_keV,2032.6185000000041,2032.6182,0.00030000000424479367
5,3,Sp_keV,12416.294600000005,12416.2941,0.0005000000055588316
5,3,S2n_keV,9283.712000000007,9283.712,7.275957614183426e-12
5,3,S2p_keV,35507.8622,35507.8621,0.00010000000474974513
5,3,Qalpha_keV,-6100.240400000002,-6100.2403,0.00010000000202126103
4,4,Sn_keV,18898.643899999995,18898.644,0.00010000000474974513
4,4,Sp_keV,17254.4041,17254.404,0.00010000000111176632
4,4,S2n_keV,29575.998,29575.9983,0.00029999999969732016
4,4,S2p_keV,27228.365399999995,27228.3656,0.00020000000586151145
4,4,Qalpha_keV,91.84000000000378,91.8399,0.00010000000378340701
3,5,Sn_keV,12826.3023,12826.3018,0.0005000000001018634
3,5,Sp_keV,136.3998999999967,136.3997,0.00019999999670972102
3,5,S2p_keV,5743.253600000004,5743.2536,3.637978807091713e-12
3,5,Qalpha_keV,-4826.537199999999,-4826.5368,0.0003999999989900971
2,6,Sp_keV,-98.74490000000151,-98.7453,0.00039999999849271717
2,6,S2p_keV,-2111.2932,-2111.2932,0.0
7,2,Sn_keV,-1254.826000000001,-1254.8254,0.0006000000009862561
7,2,S2n_keV,1279.9374000000025,1279.9373,0.00010000000247600838
6,3,Sn_keV,4062.2172999999966,4062.2175,0.0002000000035877747
6,3,Sp_keV,13943.748499999998,13943.7489,0.0004000000026280759
6,3,S2n_keV,6094.835800000001,6094.8357,0.00010000000111176632
6,3,Qalpha_keV,-10362.458099999996,-10362.4579,0.00019999999676656444
5,4,Sn_keV,1664.5388999999996,1664.5388,9.99999995201506e-05
5,4,Sp_keV,16886.324499999995,16886.3247,0.00020000000586151145
5,4,S2n_keV,20563.182799999995,20563.1828,3.637978807091713e-12
5,4,S2p_keV,29302.6191,29302.6187,0.0004000000008090865
5,4,Qalpha_keV,-2307.6987999999983,-2307.6989,0.00010000000156651367
4,5,Sn_keV,18576.400899999993,18576.4012,0.0003000000069732778
4,5,Sp_keV,-185.8431000000055,-185.8431,5.5138116294983774e-12
4,5,S2n_keV,31402.703199999993,31402.7031,9.999999383580871e-05
4,5,S2p_keV,17068.560999999994,17068.5609,9.999999383580871e-05
4,5,Qalpha_keV,-1687.3167999999932,-1687.3169,0.00010000000679610821
3,6,Sn_keV,14224.616100000007,14224.616,0.00010000000656873453
3,6,Sp_keV,1299.5689000000057,1299.5688,0.00010000000565923983
3,6,S2p_keV,1435.9688000000024,1435.9685,0.00030000000242580427
8,2,Sn_keV,-190.0020000000004,-190.0023,0.0002999999995836333
8,2,S2n_keV,-1444.8280000000013,-1444.8277,0.0003000000012889359
7,3,Sn_keV,-26.404499999996915,-26.4045,3.083755473198835e-12
7,3,Sp_keV,15172.170000000002,15172.1698,0.00020000000222353265
7,3,S2n_keV,4035.8127999999997,4035.813,0.00020000000040454324
7,3,Qalpha_keV,-11248.012600000002,-11248.0128,0.00019999999858555384
6,4,Sn_keV,6812.282300000006,6812.2824,9.999999383580871e-05
6,4,Sp_keV,19636.389500000005,19636.3895,3.637978807091713e-12
6,4,S2n_keV,8476.821200000006,8476.8212,5.4569682106375694e-12
6,4,S2p_keV,33580.138000000006,33580.1385,0.0004999999946448952
6,4,Qalpha_keV,-7409.5242,-7409.5245,0.00030000000060681487
5,5,Sn_keV,8437.193300000006,8437.1932,0.00010000000656873453
5,5,Sp_keV,6586.811300000001,6586.8113,9.094947017729282e-13
5,5,S2n_keV,27013.5942,27013.5945,0.00029999999969732016
5,5,S2p_keV,23473.135799999996,23473.136,0.00020000000222353265
5,5,Qalpha_keV,-4461.185400000002,-4461.1857,0.00029999999787833076
4,6,Sn_keV,21283.616299999994,21283.6164,0.00010000000474974513
4,6,Sp_keV,4006.7843000000066,4006.784,0.0003000000065185304
4,6,S2n_keV,35508.2324,35508.2323,9.999999747378752e-05
4,6,S2p_keV,3820.941200000001,3820.9409,0.0003000000010615622
4,6,Qalpha_keV,-5101.2768,-5101.2767,9.999999929277692e-05
3,7,Sp_keV,-2600.0857000000033,-2600.0851,0.0006000000034873665
