vintage,N,Z,A,element,target_measured,Sn_keV,S2n_keV,Sp_keV,S2p_keV,Qalpha_keV,delta2n_keV,delta2p_keV
2012,1,0,1,n,True,,,,,,,
2012,0,1,1,H,True,,,,,,,
2012,1,1,2,H,True,2224.566,,2224.566,,,,
2012,2,1,3,H,True,6257.232000000001,8481.798,,,,10281.796000000002,
2012,1,2,3,He,True,,,5493.477,7718.043,,,
2012,0,3,3,Li,False,,,,,,,
2012,3,1,4,H,True,-1599.9980000000005,4657.234,,,,5769.194,
2012,2,2,4,He,True,20577.617,,19813.862,,,,
2012,1,3,4,Li,True,,,-3102.999,2390.478,,,
2012,4,1,5,H,True,-200.0000000000009,-1799.9980000000014,,,,,
2012,3,2,5,He,True,-735.0000000000036,19842.617,20678.859999999997,,735.0000000000036,18541.877999999997,
2012,2,3,5,Li,True,21715.615999999995,,-1965.0000000000036,17848.861999999994,1965.0000000000036,,19268.586999999992
2012,1,4,5,Be,False,,,,,,,
2012,5,1,6,H,True,-911.9599999999991,-1111.96,,,,,
2012,4,2,6,He,True,1710.4540000000052,975.4540000000015,22589.314000000002,,,-1149.591999999997,
2012,3,3,6,Li,True,5663.326000000005,27378.942000000003,4433.326000000005,25112.186,-1473.760000000002,18095.232,19368.948
2012,2,4,6,Be,True,,,592.8220000000074,-1372.1779999999962,,,739.1120000000083
2012,1,5,6,B,False,,,,,,,
2012,6,1,7,H,False,,,,,,,
2012,5,2,7,He,True,-409.7150000000038,1300.7390000000014,23091.558999999997,,,20.877000000000407,
2012,4,3,7,Li,True,7251.087000000003,12914.413000000008,9973.959000000003,32563.273000000005,-2467.6150000000052,6819.574000000015,15494.716000000011
2012,3,4,7,Be,True,10677.353999999992,,5606.849999999995,10040.176,-1587.1329999999944,,8604.204999999994
2012,2,5,7,B,True,,,-2012.547000000006,-1419.7249999999985,,,
2012,6,2,8,He,True,2534.7610000000022,2125.0459999999985,,,,3545.0459999999985,
2012,5,3,8,Li,True,2032.6229999999996,9283.710000000003,12416.297000000006,35507.856,-6100.236000000004,5247.896000000012,12034.802000000003
2012,4,4,8,Be,True,18898.644000000008,29575.998,17254.407,27228.366,91.83999999999651,21099.178,23407.50600000001
2012,3,5,8,B,True,12826.289000000004,,136.3880000000063,5743.238000000001,-4826.520000000004,,7043.822000000004
2012,2,6,8,C,True,,,-98.74299999999857,-2111.2900000000045,,,
2012,7,2,9,He,True,-1254.8990000000013,1279.862000000001,,,,,
2012,6,3,9,Li,True,4062.215999999993,6094.838999999993,13943.751999999997,,-10362.451999999997,5725.559999999983,
2012,5,4,9,Be,True,1664.531999999992,20563.176,16886.31599999999,29302.612999999998,-2307.6920000000027,13249.247999999992,14026.510999999991
2012,4,5,9,B,True,18576.405999999995,31402.695,-185.85000000000582,17068.556999999993,-1687.310000000005,11511.448999999993,14377.768999999993
2012,3,6,9,C,True,14224.615000000002,,1299.5829999999987,1435.971000000005,,,
2012,8,2,10,He,True,-165.10099999999875,-1420.0,,,,,
2012,7,3,10,Li,True,-26.402000000001863,4035.813999999991,15172.248999999996,,-11248.009999999995,3760.123999999989,
