vintage,N,Z,A,element,origin,mass_excess_keV,mass_excess_unc_keV,be_per_A_keV,be_per_A_unc_keV,beta_mode,beta_keV,beta_unc_keV,atomic_mass_u,atomic_mass_unc_micro_u,mass_estimated,be_estimated,beta_estimated,atomic_mass_estimated,mass_excess_raw,be_per_A_raw,raw_line,B_total_MeV,B_total_unc_MeV,I,even_N,even_Z
2012,2,2,4,He,,2424.91561,6e-05,7073.915,0.0,B-,-22898.27,212.132,4.00260325413,6e-05,False,False,False,False,2424.91561,7073.915,   0    2    2    4 He         2424.91561    0.00006   7073.915    0.000 B- -22898.270  212.132   4 002603.25413    0.00006,28.29566,0.0,0.0,1,1
2012,3,2,5,He,-n,11231.233,20.0,5512.132,4.0,B-,-447.653,53.852,5.012057224,21.47,False,False,False,False,11231.233,5512.132,   1    3    2    5 He   -n   11231.233     20.000     5512.132    4.000 B-   -447.653   53.852   5 012057.224     21.470  ,27.560659999999995,0.02,0.2,0,1
2012,2,3,5,Li,-p,11678.886,50.0,5266.132,10.0,B-,-25460.0,2003.0,5.0125378,53.677,False,False,True,False,11678.886,5266.132,  -1    2    3    5 Li   -p   11678.886     50.000     5266.132   10.000 B- -25460#    2003#      5 012537.800     53.677  ,26.330659999999995,0.05,-0.2,1,0
2012,4,2,6,He,,17592.095,0.053,4878.519,0.009,B-,3505.216,0.053,6.018885891,0.057,False,False,False,False,17592.095,4878.519,   2    4    2    6 He        17592.095      0.053     4878.519    0.009 B-   3505.216    0.053   6 018885.891      0.057  ,29.271114,5.399999999999999e-05,0.3333333333333333,1,1
2012,3,3,6,Li,,14086.87893,0.00144,5332.331,0.0,B-,-4288.155,5.448,6.01512288742,0.00155,False,False,False,False,14086.87893,5332.331,   0    3    3    6 Li        14086.87893    0.00144   5332.331    0.000 B-  -4288.155    5.448   6 015122.88742    0.00155,31.993986,0.0,0.0,0,0
2012,2,4,6,Be,-,18375.034,5.448,4487.247,0.908,B-,-28945.0,2003.0,6.019726411,5.848,False,False,True,False,18375.034,4487.247,  -2    2    4    6 Be    -   18375.034      5.448     4487.247    0.908 B- -28945#    2003#      6 019726.411      5.848  ,26.923482000000003,0.005448000000000001,-0.3333333333333333,1,1
2012,5,2,7,He,-n,26073.126,7.559,4123.057,1.08,B-,11166.021,7.559,7.027990654,8.115,False,False,False,False,26073.126,4123.057,   3    5    2    7 He   -n   26073.126      7.559     4123.057    1.080 B-  11166.021    7.559   7 027990.654      8.115  ,28.861399,0.007560000000000001,0.42857142857142855,0,1
2012,4,3,7,Li,,14907.1052,0.00423,5606.439,0.001,B-,-861.893,0.071,7.01600343659,0.00454,False,False,False,False,14907.10520,5606.439,   1    4    3    7 Li        14907.10520    0.00423   5606.439    0.001 B-   -861.893    0.071   7 016003.43659    0.00454,39.245073000000005,7e-06,0.14285714285714285,1,0
2012,3,4,7,Be,,15768.999,0.071,5371.548,0.01,B-,-11907.551,25.15,7.016928717,0.076,False,False,False,False,15768.999,5371.548,  -1    3    4    7 Be        15768.999      0.071     5371.548    0.010 B- -11907.551   25.150   7 016928.717      0.076  ,37.600835999999994,7.000000000000001e-05,-0.14285714285714285,0,1
2012,2,5,7,B,p4n,27676.55,25.15,3558.705,3.593,B-,,,7.029712,27.0,False,False,False,False,27676.550,3558.705,  -3    2    5    7 B   p4n   27676.550     25.150     3558.705    3.593 B-      *                7 029712.000     27.000  ,24.910935,0.025151,-0.42857142857142855,1,0
