vintage,kind,N,Z,A,element,S2n_keV,S2n_unc_keV,S2n_estimated,S2p_keV,S2p_unc_keV,S2p_estimated,Qalpha_keV,Qalpha_unc_keV,Qalpha_estimated,Q2beta_keV,Q2beta_unc_keV,Q2beta_estimated,Qep_keV,Qep_unc_keV,Qep_estimated,Qbeta_n_keV,Qbeta_n_unc_keV,Qbeta_n_estimated,raw_line
2012,rct1,1,0,1,n,,,False,,,False,,,False,,,False,,,False,,,False,0  1  n   0       *                 *                 *                 *                 *                 *           
2012,rct1,0,1,1,H,,,False,,,False,,,False,,,False,,,False,,,False,   1 H    1       *                 *                 *                 *                 *                 *           
2012,rct1,1,1,2,H,,,False,,,False,,,False,,,False,,,False,,,False,0  2 H    1       *                 *                 *                 *                 *                 *           
2012,rct1,2,1,3,H,8481.8,0.0,False,,,False,,,False,-13717.0,2000.0,True,,,False,,,False,0  3 H    1    8481.80    0.00      *                 *            -13717#   2000#        *                 *           
2012,rct1,1,2,3,He,,,False,7718.04,0.0,False,,,False,,,False,,,False,,,False,   3 He   2       *              7718.04    0.00      *                 *                 *                 *           
2012,rct1,0,3,3,Li,,,False,-6800.0,2000.0,True,,,False,,,False,8242.0,2000.0,True,,,False,   3 Li   3       *             -6800#   2000#        *                 *              8242#   2000#        *           
2012,rct1,3,1,4,H,4657.23,100.0,False,,,False,,,False,-702.06,234.52,False,,,False,1618.59,100.0,False,0  4 H    1    4657.23  100.00      *                 *              -702.06  234.52      *              1618.59  100.00
2012,rct1,2,2,4,He,,,False,,,False,0.0,0.0,False,,,False,,,False,-34313.0,2000.0,True,   4 He   2       *                 *                 0.0     0.0       *                 *            -34313#   2000#  
2012,rct1,1,3,4,Li,,,False,2390.48,212.13,False,,,False,,,False,3084.41,212.13,False,,,False,   4 Li   3       *              2390.48  212.13      *                 *              3084.41  212.13      *           
2012,rct1,4,1,5,H,-1800.0,89.44,False,,,False,,,False,21213.55,102.47,False,,,False,22396.21,89.44,False,0  5 H    1   -1800.00   89.44      *                 *             21213.55  102.47      *             22396.21   89.44
2012,rct1,3,2,5,He,19842.62,20.0,False,,,False,735.0,20.0,False,-25907.0,2003.0,True,,,False,-22163.27,213.07,False,   5 He   2   19842.62   20.00      *               735.00   20.00 -25907#   2003#        *            -22163.27  213.07
2012,rct1,2,3,5,Li,33131.0,2001.0,True,17848.86,50.0,False,1965.0,50.0,False,,,False,-20231.21,111.8,False,,,False,   5 Li   3   33131#   2001#    17848.86   50.00   1965.00   50.00      *            -20231.21  111.80      *           
2012,rct1,1,4,5,Be,,,False,-7630.0,2003.0,True,,,False,,,False,27425.0,2003.0,True,,,False,   5 Be   4       *             -7630#   2003#        *                 *             27425#   2003#        *           
2012,rct1,5,1,6,H,-1111.96,273.09,False,,,False,,,False,27788.84,254.13,False,,,False,22573.17,254.91,False,0  6 H    1   -1111.96  273.09      *                 *             27788.84  254.13      *             22573.17  254.91
2012,rct1,4,2,6,He,975.45,0.05,False,,,False,,,False,-782.94,5.45,False,,,False,-2158.11,50.0,False,   6 He   2     975.45    0.05      *                 *              -782.94    5.45      *             -2158.11   50.00
2012,rct1,3,3,6,Li,27378.94,212.13,False,25112.19,100.0,False,-1473.76,0.0,False,-33233.0,2003.0,True,-26094.53,89.44,False,-31123.0,2003.0,True,   6 Li   3   27378.94  212.13  25112.19  100.00  -1473.76    0.00 -33233#   2003#   -26094.53   89.44 -31123#   2003#  
2012,rct1,2,4,6,Be,,,False,-1372.18,5.45,False,,,False,,,False,-145.17,20.73,False,,,False,   6 Be   4       *             -1372.18    5.45      *                 *              -145.17   20.73      *           
2012,rct1,1,5,6,B,,,False,-7419.0,2014.0,True,,,False,,,False,28352.0,2003.0,True,,,False,   6 B    5       *             -7419#   2014#        *                 *             28352#   2003#        *           
