vintage,N,Z,A,element,origin,mass_excess_keV,mass_excess_unc_keV,be_per_A_keV,be_per_A_unc_keV,beta_mode,beta_keV,beta_unc_keV,atomic_mass_u,atomic_mass_unc_micro_u,mass_estimated,be_estimated,beta_estimated,atomic_mass_estimated,mass_excess_raw,be_per_A_raw,raw_line,B_total_MeV,B_total_unc_MeV,I,even_N,even_Z
2020,8,8,16,O,,-4737.00217,0.0003,7976.2072,0.0002,B-,-15412.184,5.3642,15.99491461926,0.00032,False,False,False,False,-4737.00217,7976.2072,   0    8    8   16 O         -4737.00217     0.00030    7976.2072     0.0002  B- -15412.1840     5.3642   15 994914.61926     0.00032 ,127.6193152,3.2000000000000003e-06,0.0,1,1
2020,9,8,17,O,,-808.76421,0.00064,7750.7291,0.0002,B-,-2760.4655,0.2479,16.99913175595,0.00069,False,False,False,False,-808.76421,7750.7291,   1    9    8   17 O          -808.76421     0.00064    7750.7291     0.0002  B-  -2760.4655     0.2479   16 999131.75595     0.00069 ,131.76239470000002,3.4e-06,0.058823529411764705,0,1
2020,8,9,17,F,,1951.701,0.248,7542.3284,0.0146,B-,-14548.7507,0.4323,17.002095237,0.266,False,False,False,False,1951.701,7542.3284,  -1    8    9   17 F          1951.701       0.248      7542.3284     0.0146  B- -14548.7507     0.4323   17 002095.237       0.266   ,128.2195828,0.0002482,-0.058823529411764705,1,0
2020,10,8,18,O,,-782.81634,0.00064,7767.0981,0.0002,B-,-1655.9288,0.4633,17.99915961214,0.00069,False,False,False,False,-782.81634,7767.0981,   2   10    8   18 O          -782.81634     0.00064    7767.0981     0.0002  B-  -1655.9288     0.4633   17 999159.61214     0.00069 ,139.8077658,3.6000000000000003e-06,0.1111111111111111,1,1
2020,9,9,18,F,,873.112,0.463,7631.6383,0.0257,B-,-4444.5049,0.5888,18.000937324,0.497,False,False,False,False,873.112,7631.6383,   0    9    9   18 F           873.112       0.463      7631.6383     0.0257  B-  -4444.5049     0.5888   18 000937.324       0.497   ,137.3694894,0.0004626,0.0,0,0
2020,8,10,18,Ne,,5317.617,0.363,7341.2577,0.0202,B-,-19720.3745,93.8819,18.005708696,0.39,False,False,False,False,5317.617,7341.2577,  -2    8   10   18 Ne         5317.617       0.363      7341.2577     0.0202  B- -19720.3745    93.8819   18 005708.696       0.390   ,132.1426386,0.0003636,-0.1111111111111111,1,1
2020,11,8,19,O,-n,3332.858,2.637,7566.4952,0.1388,B-,4820.3029,2.637,19.003577969,2.83,False,False,False,False,3332.858,7566.4952,   3   11    8   19 O    -n    3332.858       2.637      7566.4952     0.1388  B-   4820.3029     2.6370   19 003577.969       2.830   ,143.7634088,0.0026372,0.15789473684210525,0,1
2020,10,9,19,F,,-1487.44512,0.00082,7779.0192,0.0002,B-,-3239.4986,0.1601,18.99840316207,0.00088,False,False,False,False,-1487.44512,7779.0192,   1   10    9   19 F         -1487.44512     0.00082    7779.0192     0.0002  B-  -3239.4986     0.1601   18 998403.16207     0.00088 ,147.8013648,3.8e-06,0.05263157894736842,1,0
2020,9,10,19,Ne,+3n,1752.054,0.16,7567.3431,0.0084,B-,-11177.331,10.5364,19.001880906,0.171,False,False,False,False,1752.054,7567.3431,  -1    9   10   19 Ne  +3n    1752.054       0.160      7567.3431     0.0084  B- -11177.3310    10.5364   19 001880.906       0.171   ,143.7795189,0.0001596,-0.05263157894736842,0,1
2020,8,11,19,Na,,12929.384,10.535,6937.8864,0.5545,B-,-18909.0095,60.9189,19.013880264,11.309,False,False,False,False,12929.384,6937.8864,  -3    8   11   19 Na        12929.384      10.535      6937.8864     0.5545  B- -18909.0095    60.9189   19 013880.264      11.309   ,131.81984160000002,0.0105355,-0.15789473684210525,1,0
2020,12,8,20,O,-nn,3796.172,0.885,7568.5707,0.0442,B-,3813.6349,0.8854,20.004075357,0.95,False,False,False,False,3796.172,7568.5707,   4   12    8   20 O   -nn    3796.172       0.885      7568.5707     0.0442  B-   3813.6349     0.8854   20 004075.357       0.950   ,151.371414,0.0008840000000000001,0.2,1,1
2020,11,9,20,F,-n,-17.463,0.03,7720.1351,0.0015,B-,7024.4689,0.0297,19.999981252,0.031,False,False,False,False,-17.463,7720.1351,   2   11    9   20 F    -n     -17.463       0.030      7720.1351     0.0015  B-   7024.4689     0.0297   19 999981.252       0.031   ,154.40270200000003,2.9999999999999997e-05,0.1,0,0
2020,10,10,20,Ne,,-7041.93217,0.00154,8032.2412,0.0002,B-,-13892.4207,1.109,19.99244017525,0.00165,False,False,False,False,-7041.93217,8032.2412,   0   10   10   20 Ne        -7041.93217     0.00154    8032.2412     0.0002  B- -13892.4207     1.1090   19 992440.17525     0.00165 ,160.64482400000003,4e-06,0.0,1,1
2020,9,11,20,Na,,6850.489,1.109,7298.5028,0.0554,B-,-10627.2054,2.1681,20.007354301,1.19,False,False,False,False,6850.489,7298.5028,  -2    9   11   20 Na         6850.489       1.109      7298.5028     0.0554  B- -10627.2054     2.1681   20 007354.301       1.190   ,145.970056,0.0011079999999999998,-0.1,0,0
2020,8,12,20,Mg,+t,17477.694,1.863,6728.0252,0.0931,B-,,,20.018763075,2.0,False,False,False,False,17477.694,6728.0252,  -4    8   12   20 Mg   +t   17477.694       1.863      6728.0252     0.0931  B-      *                   20 018763.075       2.000   ,134.560504,0.0018620000000000002,-0.2,1,1
2020,13,8,21,O,-3n,8062.034,12.0,7389.3747,0.5714,B-,8109.639,12.1342,21.008654948,12.882,False,False,False,False,8062.034,7389.3747,   5   13    8   21 O   -3n    8062.034      12.000      7389.3747     0.5714  B-   8109.6390    12.1342   21 008654.948      12.882   ,155.1768687,0.0119994,0.23809523809523808,0,1
2020,12,9,21,F,-nn,-47.605,1.8,7738.2934,0.0857,B-,5684.1712,1.8004,20.999948893,1.932,False,False,False,False,-47.605,7738.2934,   3   12    9   21 F   -nn     -47.605       1.800      7738.2934     0.0857  B-   5684.1712     1.8004   20 999948.893       1.932   ,162.5041614,0.0017997,0.14285714285714285,1,0
