old_vintage,new_vintage,N,Z,A,element,label,delta_mass_excess_keV,new_primary_eligible,new_broad_eligible,old_mass_excess_keV,new_mass_excess_keV
2012,2016,1,0,1,n,changed,-9.999999747378752e-06,False,False,8071.31714,8071.31713
2012,2016,0,1,1,H,changed,2.0000000404252205e-05,False,False,7288.97059,7288.97061
2012,2016,1,1,2,H,changed,1.9999999494757503e-05,False,False,13135.72174,13135.72176
2012,2016,2,1,3,H,changed,0.0038199999999051215,False,False,14949.80611,14949.80993
2012,2016,1,2,3,He,changed,0.0024200000007112976,False,False,14931.21551,14931.21793
2012,2016,3,1,4,H,changed,0.004000000000814907,False,False,24621.123,24621.127
2012,2016,2,2,4,He,unchanged,0.0,False,False,2424.91561,2424.91561
2012,2016,1,3,4,Li,changed,0.0029999999969732016,False,False,25323.186,25323.189
2012,2016,4,1,5,H,changed,0.004000000000814907,False,False,32892.44,32892.444
2012,2016,3,2,5,He,unchanged,0.0,False,False,11231.233,11231.233
2012,2016,2,3,5,Li,unchanged,0.0,False,False,11678.886,11678.886
2012,2016,5,1,6,H,changed,0.004000000000814907,False,False,41875.717,41875.721
2012,2016,4,2,6,He,unchanged,0.0,False,False,17592.095,17592.095
2012,2016,3,3,6,Li,changed,1.9999999494757503e-05,False,False,14086.87893,14086.87895
2012,2016,2,4,6,Be,changed,-0.0010000000002037268,False,False,18375.034,18375.033
2012,2016,5,2,7,He,unchanged,0.0,False,False,26073.126,26073.126
2012,2016,4,3,7,Li,changed,8.999999954539817e-05,False,False,14907.1052,14907.10529
2012,2016,3,4,7,Be,unchanged,0.0,False,False,15768.999,15768.999
2012,2016,2,5,7,B,unchanged,0.0,False,False,27676.55,27676.55
2012,2016,6,2,8,He,unchanged,0.0,False,False,31609.681,31609.681
2012,2016,5,3,8,Li,unchanged,0.0,False,False,20945.804,20945.804
2012,2016,4,4,8,Be,unchanged,0.0,False,False,4941.671,4941.671
2012,2016,3,5,8,B,changed,-0.010000000002037268,False,False,22921.577,22921.567
2012,2016,2,6,8,C,changed,-0.0010000000038417056,False,False,35064.269,35064.268
2012,2016,7,2,9,He,changed,-0.06999999999970896,False,False,40935.896,40935.826
2012,2016,6,3,9,Li,unchanged,0.0,False,False,24954.902,24954.902
2012,2016,5,4,9,Be,unchanged,0.0,False,False,11348.453,11348.453
2012,2016,4,5,9,B,unchanged,0.0,False,False,12416.488,12416.488
2012,2016,3,6,9,C,changed,0.0020000000004074536,False,False,28910.97,28910.972
2012,2016,8,2,10,He,changed,24.826999999997497,False,False,49172.316,49197.143
2012,2016,7,3,10,Li,unchanged,0.0,False,False,33052.624,33052.624
2012,2016,6,4,10,Be,unchanged,0.0,False,False,12607.488,12607.488
2012,2016,5,5,10,B,changed,-0.08100000000013097,False,False,12050.69,12050.609
2012,2016,4,6,10,C,changed,-0.08299999999871943,False,False,15698.755,15698.672
2012,2016,3,7,10,N,changed,-0.08100000000558794,False,False,38800.107,38800.026
2012,2016,8,3,11,Li,unchanged,0.0,False,False,40728.254,40728.254
2012,2016,7,4,11,Be,unchanged,0.0,False,False,20177.167,20177.167
2012,2016,6,5,11,B,changed,-0.17599999999947613,False,False,8667.883,8667.707
2012,2016,5,6,11,C,changed,-0.8989999999994325,False,False,10650.295,10649.396
2012,2016,4,7,11,N,changed,-0.08299999999871943,False,False,24303.642,24303.559
2012,2016,9,3,12,Li,changed,90.0,False,False,48919.571,49009.571
2012,2016,8,4,12,Be,changed,0.0010000000002037268,False,False,25077.759,25077.76
2012,2016,7,5,12,B,changed,-0.01899999999841384,False,False,13369.416,13369.397
2012,2016,6,6,12,C,unchanged,0.0,False,False,0.0,0.0
2012,2016,5,7,12,N,changed,-0.004000000000814907,False,False,17338.072,17338.068
2012,2016,4,8,12,O,changed,-0.08299999999871943,False,False,31914.696,31914.613
2012,2016,10,3,13,Li,changed,-1360.0,False,False,58340.888,56980.888
2012,2016,9,4,13,Be,changed,0.000999999996565748,False,False,33659.076,33659.077
2012,2016,8,5,13,B,changed,-0.17199999999866122,False,False,16562.119,16561.947
2012,2016,7,6,13,C,changed,0.00012999999989915523,False,False,3125.00875,3125.00888
2012,2016,6,7,13,N,unchanged,0.0,False,False,5345.481,5345.481
2012,2016,5,8,13,O,changed,-0.006999999997788109,False,False,23115.439,23115.432
2012,2016,10,4,14,Be,unchanged,0.0,False,False,39954.498,39954.498
2012,2016,9,5,14,B,unchanged,0.0,False,False,23663.685,23663.685
2012,2016,8,6,14,C,unchanged,0.0,False,False,3019.89278,3019.89278
2012,2016,7,7,14,N,changed,3.0000000151630957e-05,False,False,2863.41669,2863.41672
2012,2016,6,8,14,O,changed,0.3239999999996144,False,False,8007.457,8007.781
2012,2016,5,9,14,F,changed,-0.008000000001629815,False,False,31964.41,31964.402
2012,2016,11,4,15,Be,new,,False,False,,49825.815
2012,2016,10,5,15,B,changed,0.25399999999717693,False,False,28957.988,28958.242
2012,2016,9,6,15,C,unchanged,0.0,False,False,9873.144,9873.144
2012,2016,8,7,15,N,changed,5.000000000165983e-05,False,False,101.43866,101.43871
2012,2016,7,8,15,O,unchanged,0.0,False,False,2855.605,2855.605
2012,2016,6,9,15,F,changed,-240.0590000000011,False,False,16806.81,16566.751
2012,2016,5,10,15,Ne,new,,False,False,,40215.373
2012,2016,12,4,16,Be,unchanged,0.0,False,False,57447.132,57447.132
2012,2016,11,5,16,B,changed,0.23900000000139698,False,False,37112.271,37112.51
2012,2016,10,6,16,C,changed,0.003999999998995918,False,False,13694.128,13694.132
2012,2016,9,7,16,N,unchanged,0.0,False,False,5683.907,5683.907
2012,2016,8,8,16,O,changed,2.0000000404252205e-05,True,True,-4737.00137,-4737.00135
2012,2016,7,9,16,F,changed,-0.0010000000002037268,False,False,10680.254,10680.253
2012,2016,6,10,16,Ne,changed,0.6220000000030268,False,False,23986.154,23986.776
2012,2016,12,5,17,B,changed,-54.49899999999616,False,False,43770.816,43716.317
2012,2016,11,6,17,C,changed,1.1200000000026193,False,False,21030.778,21031.898
2012,2016,10,7,17,N,changed,0.0039999999999054126,False,False,7870.075,7870.079
2012,2016,9,8,17,O,changed,0.00013000000001284207,True,True,-808.76361,-808.76348
2012,2016,8,9,17,F,changed,0.0009999999999763531,True,True,1951.701,1951.702
2012,2016,7,10,17,Ne,changed,-0.004000000000814907,False,False,16500.451,16500.447
2012,2016,6,11,17,Na,new,,False,False,,35173.214
2012,2016,13,5,18,B,changed,-54.499000000003434,False,False,51847.133,51792.634
2012,2016,12,6,18,C,changed,1.139999999999418,False,False,24918.124,24919.264
2012,2016,11,7,18,N,unchanged,0.0,False,False,13113.168,13113.168
2012,2016,10,8,18,O,changed,-2.0000000063191692e-05,True,True,-782.81558,-782.8156
2012,2016,9,9,18,F,unchanged,0.0,True,True,873.113,873.113
2012,2016,8,10,18,Ne,changed,-0.009000000000014552,True,True,5317.623,5317.614
2012,2016,7,11,18,Na,changed,1.0570000000006985,False,False,25036.931,25037.988
2012,2016,14,5,19,B,new,,False,False,,59770.244
2012,2016,13,6,19,C,changed,1.139999999999418,False,False,32412.612,32413.752
2012,2016,12,7,19,N,changed,0.760999999998603,False,False,15855.521,15856.282
2012,2016,11,8,19,O,unchanged,0.0,True,True,3332.858,3332.858
2012,2016,10,9,19,F,changed,0.00014000000010128133,True,True,-1487.44434,-1487.4442
2012,2016,9,10,19,Ne,changed,-0.004000000000132786,True,True,1752.054,1752.05
2012,2016,8,11,19,Na,changed,-0.0010000000002037268,True,True,12929.391,12929.39
2012,2016,7,12,19,Mg,changed,-0.0030000000006111804,False,False,31828.392,31828.389
2012,2016,14,6,20,C,changed,-54.04699999999866,False,False,37557.61,37503.563
2012,2016,13,7,20,N,changed,1.385999999998603,False,False,21765.11,21766.496
2012,2016,12,8,20,O,changed,0.0039999999999054126,True,True,3796.168,3796.172
2012,2016,11,9,20,F,unchanged,0.0,True,True,-17.463,-17.463
2012,2016,10,10,20,Ne,unchanged,0.0,True,True,-7041.93055,-7041.93055
2012,2016,9,11,20,Na,unchanged,0.0,True,True,6850.604,6850.604
2012,2016,8,12,20,Mg,changed,-80.97500000000218,True,True,17558.667,17477.692
2012,2016,14,7,21,N,changed,-19.251000000000204,False,False,25251.164,25231.913
2012,2016,13,8,21,O,changed,0.12799999999970169,True,True,8061.907,8062.035
2012,2016,12,9,21,F,changed,0.0040000000000048885,True,True,-47.609,-47.605
2012,2016,11,10,21,Ne,unchanged,0.0,True,True,-5731.776,-5731.776
2012,2016,10,11,21,Na,changed,0.006000000000312866,True,True,-2184.637,-2184.631
2012,2016,9,12,21,Mg,changed,-9.664999999999054,True,True,10913.515,10903.85
2012,2016,16,6,22,C,changed,20.95300000000134,False,False,53590.244,53611.197
2012,2016,15,7,22,N,changed,-273.8739999999998,False,False,32038.675,31764.801
2012,2016,14,8,22,O,changed,-0.2890000000006694,True,True,9283.322,9283.033
2012,2016,13,9,22,F,changed,-0.0039999999999054126,True,True,2793.377,2793.373
2012,2016,12,10,22,Ne,changed,-0.005000000000109139,True,True,-8024.714,-8024.719
2012,2016,11,11,22,Na,changed,0.006999999999607098,True,True,-5181.518,-5181.511
2012,2016,10,12,22,Mg,changed,0.006000000000028649,True,True,-399.939,-399.933
2012,2016,16,7,23,N,new,,False,False,,36720.425
2012,2016,15,8,23,O,changed,0.7120000000013533,False,True,14620.657,14621.369
2012,2016,14,9,23,F,changed,-27.778999999999996,True,True,3313.042,3285.263
2012,2016,13,10,23,Ne,changed,-0.005000000000109139,True,True,-5154.044,-5154.049
2012,2016,12,11,23,Na,changed,9.999999747378752e-06,True,True,-9529.85249,-9529.85248
2012,2016,11,12,23,Mg,changed,-0.24899999999979627,True,True,-5473.264,-5473.513
2012,2016,10,13,23,Al,unchanged,0.0,True,True,6748.07,6748.07
2012,2016,16,8,24,O,unchanged,0.0,False,True,18500.402,18500.402
2012,2016,15,9,24,F,changed,-15.011999999999716,True,True,7559.527,7544.515
2012,2016,14,10,24,Ne,changed,-0.005000000000109139,True,True,-5951.641,-5951.646
2012,2016,13,11,24,Na,changed,0.05700000000069849,True,True,-8417.958,-8417.901
2012,2016,12,12,24,Mg,unchanged,0.0,True,True,-13933.569,-13933.569
2012,2016,11,13,24,Al,changed,-1.2510000000000048,True,True,-47.614,-48.865
2012,2016,10,14,24,Si,changed,0.842000000000553,True,True,10744.353,10745.195
2012,2016,17,8,25,O,changed,-18.692000000002736,False,True,27347.719,27329.027
2012,2016,16,9,25,F,changed,-29.343000000000757,True,True,11363.509,11334.166
2012,2016,15,10,25,Ne,changed,24.304000000000087,True,True,-2059.806,-2035.502
2012,2016,14,11,25,Na,changed,0.003999999998995918,True,True,-9357.817,-9357.813
2012,2016,13,12,25,Mg,changed,-0.011999999998806743,True,True,-13192.771,-13192.783
2012,2016,12,13,25,Al,changed,0.19000000000050932,True,True,-8916.165,-8915.975
2012,2016,11,14,25,Si,changed,-0.007000000000061846,True,True,3827.331,3827.324
2012,2016,18,8,26,O,changed,-72.0,False,True,34733.037,34661.037
2012,2016,17,9,26,F,changed,-16.186000000001513,False,True,18665.061,18648.875
2012,2016,16,10,26,Ne,changed,1.6689999999999827,True,True,479.445,481.114
2012,2016,15,11,26,Na,unchanged,0.0,True,True,-6860.78,-6860.78
2012,2016,14,12,26,Mg,changed,0.004000000000814907,True,True,-16214.546,-16214.542
2012,2016,13,13,26,Al,changed,-0.03900000000066939,True,True,-12210.112,-12210.151
2012,2016,12,14,26,Si,changed,-0.03800000000046566,True,True,-7140.977,-7141.015
2012,2016,18,9,27,F,changed,820.645999999997,False,True,24629.633,25450.279
2012,2016,17,10,27,Ne,changed,15.085000000000036,True,True,7035.824,7050.909
2012,2016,16,11,27,Na,changed,-0.113999999999578,True,True,-5517.676,-5517.79
2012,2016,15,12,27,Mg,changed,0.002999999998792191,True,True,-14586.614,-14586.611
2012,2016,14,13,27,Al,changed,-0.11400000000139698,True,True,-17196.747,-17196.861
2012,2016,13,14,27,Si,changed,-0.11400000000139698,True,True,-12384.389,-12384.503
2012,2016,12,15,27,P,changed,0.0030000000000427463,True,True,-722.461,-722.458
2012,2016,19,9,28,F,changed,820.6460000000006,False,True,32920.95,33741.596
2012,2016,18,10,28,Ne,changed,8.167999999999665,False,True,11291.569,11299.737
2012,2016,17,11,28,Na,unchanged,0.0,True,True,-988.315,-988.315
2012,2016,16,12,28,Mg,changed,-0.11499999999978172,True,True,-15018.73,-15018.845
2012,2016,15,13,28,Al,changed,-0.11500000000160071,True,True,-16850.53,-16850.645
2012,2016,14,14,28,Si,changed,0.0002899999999499414,True,True,-21492.79459,-21492.7943
2012,2016,13,15,28,P,unchanged,0.0,True,True,-7147.74,-7147.74
2012,2016,12,16,28,S,changed,0.0010000000002037268,False,True,4073.205,4073.206
2012,2016,20,9,29,F,new,,False,True,,40150.186
2012,2016,19,10,29,Ne,unchanged,0.0,False,True,18399.801,18399.801
2012,2016,18,11,29,Na,changed,0.018000000000029104,True,True,2679.976,2679.994
2012,2016,17,12,29,Mg,unchanged,0.0,True,True,-10602.829,-10602.829
2012,2016,16,13,29,Al,changed,-3.0979999999981374,True,True,-18204.662,-18207.76
2012,2016,15,14,29,Si,changed,0.0002899999999499414,True,True,-21895.07867,-21895.07838
2012,2016,14,15,29,P,changed,-0.397000000000844,True,True,-16952.451,-16952.848
2012,2016,13,16,29,S,changed,-0.008000000000265572,True,True,-3156.408,-3156.416
2012,2016,12,17,29,Cl,new,,False,True,,13162.176
2012,2016,20,10,30,Ne,changed,240.54399999999805,False,True,23039.573,23280.117
2012,2016,19,11,30,Na,unchanged,0.0,True,True,8474.67,8474.67
2012,2016,18,12,30,Mg,changed,-0.09299999999893771,True,True,-8883.727,-8883.82
2012,2016,17,13,30,Al,changed,7.608000000000175,True,True,-15872.452,-15864.844
2012,2016,16,14,30,Si,changed,0.0010000000002037268,True,True,-24432.961,-24432.96
2012,2016,15,15,30,P,changed,-0.2459999999991851,True,True,-20200.608,-20200.854
2012,2016,14,16,30,S,changed,-0.24600000000100408,True,True,-14059.007,-14059.253
2012,2016,12,18,30,Ar,new,,False,True,,20931.147
2012,2016,21,10,31,Ne,changed,361.2489999999998,False,True,30820.342,31181.591
2012,2016,20,11,31,Na,changed,-14.903999999998632,True,True,12260.935,12246.031
2012,2016,19,12,31,Mg,changed,0.18600000000014916,True,True,-3122.337,-3122.151
2012,2016,18,13,31,Al,changed,4.270000000000437,True,True,-14954.976,-14950.706
2012,2016,17,14,31,Si,unchanged,0.0,True,True,-22949.036,-22949.036
