old_vintage,new_vintage,N,Z,A,element,label,delta_mass_excess_keV,new_primary_eligible,new_broad_eligible,old_mass_excess_keV,new_mass_excess_keV
2012,2016,33,19,52,K,new,,True,True,,-17137.627
2012,2016,25,27,52,Co,new,,True,True,,-34360.951
2012,2016,33,20,53,Ca,new,,True,True,,-29387.704
2012,2016,34,20,54,Ca,new,,True,True,,-25160.585
2012,2016,27,29,56,Cu,new,,True,True,,-38643.029
2012,2016,37,25,62,Mn,new,,True,True,,-48523.957
2012,2016,52,30,82,Zn,new,,True,True,,-42313.954
2012,2016,42,40,82,Zr,new,,True,True,,-63631.287
2012,2016,43,41,84,Nb,new,,True,True,,-61218.717
2012,2016,63,37,100,Rb,new,,True,True,,-46247.064
2012,2016,81,48,129,Cd,new,,True,True,,-63058.046
2012,2016,74,63,137,Eu,new,,True,True,,-60145.895
2012,2016,88,53,141,I,new,,True,True,,-59926.657
2012,2016,109,81,190,Tl,new,,True,True,,-24372.027
2012,2016,111,83,194,Bi,new,,True,True,,-16028.811
2012,2016,110,87,197,Fr,new,,True,True,,10253.971
2012,2016,113,85,198,At,new,,True,True,,-6714.513
2012,2016,111,87,198,Fr,new,,True,True,,9574.024
2012,2016,113,88,201,Ra,new,,True,True,,11936.801
2012,2016,115,87,202,Fr,new,,True,True,,3096.237
2012,2016,116,89,205,Ac,new,,True,True,,14106.693
2012,2016,117,89,206,Ac,new,,True,True,,13479.452
2012,2016,133,82,215,Pb,new,,True,True,,4342.244
2012,2016,123,92,215,U,new,,True,True,,24923.087
2012,2016,124,92,216,U,new,,True,True,,23066.351
2012,2016,126,93,219,Np,new,,True,True,,29456.655
2012,2016,129,92,221,U,new,,True,True,,24519.995
2012,2016,130,92,222,U,new,,True,True,,24272.827
2012,2016,134,95,229,Am,new,,True,True,,42150.02
2012,2016,145,87,232,Fr,new,,True,True,,46072.834
2012,2016,146,87,233,Fr,new,,True,True,,48920.051
2012,2016,157,102,259,No,new,,True,True,,94078.569
