N,Z,A,B_exp,B_BWN_published,residual
8,8,16,127.6193152,125.24955536611311,2.3697598338868886
9,8,17,131.76239470000002,131.24487293254836,0.5175217674516546
8,9,17,128.2195828,127.72483131735581,0.49475148264420454
10,8,18,139.8077658,140.59356155633645,-0.785795756336455
9,9,18,137.3694894,137.84472398081672,-0.475234580816732
8,10,18,132.1426386,133.1217361957191,-0.9790975957191108
11,8,19,143.7634088,144.734530941092,-0.9711221410919961
10,9,19,147.8013648,149.3060593140165,-1.5046945140165064
9,10,19,143.7795189,145.39902658721476,-1.6195076872147638
8,11,19,131.81984160000002,132.8737245254844,-1.0538829254843733
12,8,20,151.371414,152.4453150216446,-1.073901021644616
11,9,20,154.40270200000003,155.12976521618336,-0.7270632161833248
10,10,20,160.64482400000003,161.01517552435723,-0.3703515243572042
9,11,20,145.970056,146.89939499796088,-0.9293389979608833
8,12,20,134.560504,135.75740729264817,-1.1969032926481589
13,8,21,155.1768687,155.61484387814937,-0.43797517814937237
12,9,21,162.5041614,163.67961231081244,-1.175450910812458
11,10,21,167.4059856,168.32914267447984,-0.9231570744798319
10,11,21,163.07672010000002,164.04845341766645,-0.971733317666434
9,12,21,149.2056657,150.7025193636613,-1.4968536636613123
14,8,22,162.02718839999997,161.51619746596387,0.5109909340361014
13,9,22,167.7344988,168.2581226225212,-0.5236238225211878
12,10,22,177.7702432,178.56820105380802,-0.7979578538080148
11,11,22,174.1445728,175.1498084117493,-1.005235611749299
10,12,22,168.58081900000002,169.60409559660278,-1.0232765966027557
15,8,23,164.76016879999997,162.65900493120196,2.101163868798011
14,9,23,175.3139281,174.90410295437385,0.4098251456261437
13,10,23,182.9708903,183.46061113055202,-0.48972083055201665
12,11,23,186.5643528,187.20732293290018,-0.6429701329001887
11,12,23,181.7258267,182.56464130299184,-0.838814602991846
10,13,23,168.7217325,169.40210420172272,-0.68037170172272
16,8,24,168.952452,165.96782644028212,2.9846255597178697
15,9,24,179.1259944,177.5347037053478,1.5912906946522014
14,10,24,191.8398048,191.5846345372053,0.25517026279470656
13,11,24,193.5237168,193.61526197882435,-0.09154517882436153
12,12,24,198.2570472,198.21350221796737,0.04354498203261414
11,13,24,183.5899344,183.93924815743364,-0.34931375743363446
10,14,24,172.01358960000002,172.01715605780853,-0.003566457808517498
17,8,25,168.195145,165.8717924523151,2.323352547684891
16,9,25,183.4076625,181.72876867383818,1.6788938261618114
15,10,25,195.994985,194.66685219988912,1.3281328001108932
14,11,25,202.5349475,202.46859008711974,0.06635741288025088
13,12,25,205.58757,205.9840376167519,-0.3964676167518917
12,13,25,200.528415,200.98969287550216,-0.46127787550216226
11,14,25,187.0027725,187.35947735707418,-0.35670485707419175
18,8,26,168.934454,167.72657826032997,1.2078757396700155
17,9,26,184.1384922,183.12221810147986,1.0162740985201424
16,10,26,201.549686,200.56935446632193,0.9803315336780827
15,11,26,208.1092338,207.08831691245027,1.0209168875497312
14,12,26,216.6806486,216.42063685229436,0.26001174770564717
13,13,26,211.8938978,212.12436982613812,-0.23047202613813056
12,14,26,206.0424158,206.0521386998706,-0.009722899870610036
18,9,27,185.7509874,185.95493961536758,-0.2039522153675648
17,10,27,203.0512077,202.5088089634162,0.5423987365838059
16,11,27,214.8375609,213.87393063919114,0.9636302608088556
15,12,27,223.1240175,221.64934685632795,1.4746706436720558
14,13,27,224.9519391,224.24515191940645,0.7067871805935511
13,14,27,219.357234,218.90838514335934,0.44884885664066587
12,15,27,206.8494138,205.51714641212644,1.3322673878735714
19,9,28,185.5519876,186.75274655262282,-1.2007589526228344
18,10,28,206.87369640000003,207.0796467831378,-0.20595038313777536
17,11,28,218.3794032,217.38712935455476,0.9922738454452542
16,12,28,231.62868680000005,230.07449492809175,1.5541918719083014
15,13,28,232.6771132,231.15374398083384,1.5233692191661703
14,14,28,236.53684600000005,234.3056309968885,2.2312150031115436
13,15,28,221.4095576,220.1102130393381,1.2993445606618934
12,16,28,209.4061508,207.7838330956041,1.622317704395897
20,9,29,186.8769106,189.35738794883335,-2.4804773488333467
19,10,29,207.8449517,208.52064133833673,-0.6756896383367348
18,11,29,222.7824138,222.87037969515555,-0.08796589515554842
17,12,29,235.2924193,234.13514135188962,1.1572779481103908
16,13,29,242.1054763,240.5190528365914,1.586423463408579
15,14,29,245.0104469,242.69225967640935,2.3181872235906553
14,15,29,239.2858672,237.02141000908253,2.264457190917483
13,16,29,224.6450954,223.3885698438153,1.2565255561846982
20,10,30,211.035951,212.81660279157552,-1.780651791575508
19,11,30,225.059055,225.8586771655263,-0.7996221655263014
18,12,30,241.63275,241.27221020675273,0.3605397932472556
17,13,30,247.833147,246.0763452196942,1.756801780305807
16,14,30,255.619647,253.74969120058225,1.8699557994177383
15,15,30,250.605192,248.46771137538812,2.137480624611868
14,16,30,243.681243,242.04693407583932,1.6343089241606776
13,17,30,224.165094,222.4729484542996,1.6921455457004129
21,10,31,211.2057962,212.66124322651916,-1.4554470265191526
20,11,31,229.3590118,231.00470424686205,-1.645692446862057
19,12,31,243.9448466,244.78554229245003,-0.8406956924500264
18,13,31,254.991058,254.0315352967058,0.9595227032941978
17,14,31,262.20703960000003,259.9189168025531,2.288122797446931
16,15,31,262.9161987,261.0301116978737,1.8860870021263167
15,16,31,256.7358403,255.03276011074038,1.703080189259623
14,17,31,243.9455131,241.81268469794708,2.1328284020529225
21,11,32,231.036208,232.06873999539928,-1.032531995399296
20,12,32,249.7229152,251.47297248495568,-1.7500572849556875
19,13,32,259.2110368,258.98962364145535,0.22141315854463528
18,14,32,271.407008,269.37459465374917,2.0324133462508485
17,15,32,270.85184960000004,268.54197572356367,2.30987387643637
16,16,32,271.7801632,270.4698346447995,1.310328555200499
15,17,32,258.3169856,256.1944087579801,2.122576842019896
14,18,32,246.4002848,244.48710195247114,1.9131828475288728
22,11,33,233.9675646,235.01838124315307,-1.0508166431530697
21,12,33,252.0024606,252.8487954256239,-0.8463348256238987
20,13,33,264.6803676,266.37204276697736,-1.6916751669773475
19,14,33,275.9149668,274.7926286440955,1.1223381559045151
18,15,33,280.9556409,278.6072149279912,2.3484259720087834
