regime,population,family,mechanism,n,mae,rmse,bias,median_ae,p95_ae,G_vs_data_MAE,fraction_G_soft_gt1,fraction_G_residual_gt1
R0_random,primary,physics,physics_only,468,2.2527708734558134,3.067715514172955,-0.09795056645320371,1.6962177770029712,6.443197112176049,,,
R0_random,primary,hgb,data,468,2.2217380924534584,3.2884352593122963,0.12379135939346944,1.6403163520936914,6.100660732667003,,,
R0_random,primary,hgb,soft,468,1.601313770711166,2.165170140448995,-0.009253796114542375,1.2340454701769659,4.083932101711962,1.3874470657095226,,
R0_random,primary,hgb,residual,468,0.3324890536027962,0.5333120311692853,-0.04747676300721996,0.24655198306305692,0.9494216858390655,6.682139061058021,,
R0_random,primary,hgb,adaptive,468,1.4834285934954585,1.9755838213232035,0.14203036097866187,1.177189148540947,3.667930792325433,1.49770477810347,,
R0_random,primary,mlp,data,468,2.41067509798992,3.404423797087754,0.13942628987249256,1.6498619520141915,6.9010551238924105,,,
R0_random,primary,mlp,soft,468,1.8774862489886295,2.5980311631975974,-0.0029998239229283154,1.3966972340075472,5.753569496910138,1.283990814467222,,
R0_random,primary,mlp,residual,468,0.47794018689957035,0.7932889705340259,-0.06656956540322588,0.2221169805776526,1.8639168675465612,5.043884494476451,,
R0_random,primary,mlp,adaptive,468,1.8697522879340338,2.5641124805448894,0.055945258085768675,1.3744270728976176,5.757653868485324,1.2893018575490416,,
R0_random,primary,mlp,seed_robustness,5,,,,,,,1.0,1.0
R0_random,primary,ridge,data,468,1.8813136702670448,2.499431948130664,-0.08182087364472528,1.5488111748766755,5.161584008139722,,,
R0_random,primary,ridge,soft,468,1.8813136702670448,2.499431948130664,-0.08182087364472528,1.5488111748766755,5.161584008139722,1.0,,
R0_random,primary,ridge,residual,468,1.817052187406606,2.416386810480996,-0.09355238610225171,1.428977584593305,4.542303268576415,1.0353657882287663,,
R0_random,primary,ridge,adaptive,468,1.8655031445231829,2.5028685763317577,-0.06472289644026225,1.4945609886132445,5.051251475173213,1.0084752072331151,,
R0_random,primary,BWN,physics_only_shell_aware,468,0.7001271823374189,0.8833662610610297,-0.056922948874617796,0.586371919718431,1.738455198392272,,,
R1_Ca,primary,physics,physics_only,19,2.8893881346834234,3.496397527738419,-0.1519934582910459,2.536041743630676,6.137195311808323,,,
R1_Ca,primary,hgb,data,19,2.9685235113235326,3.3901575672073054,-1.9228751646127373,3.186308214386827,5.75982236257232,,,
R1_Ca,primary,hgb,soft,19,2.0888154574120286,2.623561751478416,-0.860346140819717,1.9475805718396373,4.692276496649195,1.4211516392172971,,
R1_Ca,primary,hgb,residual,19,0.5453929485957204,0.7269854010608094,-0.5153911731478705,0.5295145607573204,1.4612716835235062,5.442907758464602,,
R1_Ca,primary,hgb,adaptive,19,2.000250239561781,2.527486915962066,-1.0345184262737768,1.8128056004176756,4.363198971696281,1.4840760683892646,,
R1_Ca,primary,mlp,data,19,2.2845650660898937,2.6062486006657,-1.125578753111636,2.2586177721819354,3.9343253929090674,,,
R1_Ca,primary,mlp,soft,19,2.4172480813084456,2.860861891241731,-0.5414275762192825,2.447519328556041,4.627696945859627,0.9451098891154229,,
R1_Ca,primary,mlp,residual,19,1.942219818779207,2.2998723834427457,-0.4497076791036683,1.9269341696797824,3.6140800530137596,1.1762649335572477,,
R1_Ca,primary,mlp,adaptive,19,2.327910430857281,2.739720401650908,-0.4913016991249666,2.48599695251977,4.428088566916455,0.9813801406648516,,
R1_Ca,primary,mlp,seed_robustness,5,,,,,,,0.6,1.0
R1_Ca,primary,ridge,data,19,1.8109097823178246,2.114621151784292,-0.45086763112577966,1.8020726512074248,3.4458011288044474,,,
R1_Ca,primary,ridge,soft,19,1.8109097823178246,2.114621151784292,-0.45086763112577966,1.8020726512074248,3.4458011288044474,1.0,,
R1_Ca,primary,ridge,residual,19,2.006165785876958,2.387469683632542,-0.8231672385558233,1.8430430017999697,3.9006299932161763,0.9026720498706039,,
R1_Ca,primary,ridge,adaptive,19,2.025736960617729,2.389297898270994,-0.3381305267407607,2.3596850620298824,3.7124561870032378,0.8939510990437796,,
R1_Ca,primary,BWN,physics_only_shell_aware,19,1.175786235476138,1.4264956076988913,-0.001141643920884929,1.1815389898799253,2.7710935708223796,,,
R1_Sn,primary,physics,physics_only,32,4.285946164832051,6.114285984087856,-3.894182119065878,2.4720377484659366,12.454352430976302,,,
R1_Sn,primary,hgb,data,32,1.8599508517908454,2.267513731365581,-1.6118380646533375,1.2996814191006933,4.254052395378761,,,
R1_Sn,primary,hgb,soft,32,3.0204946826097583,4.220888005898759,-2.9812444973008567,1.9031518368105935,9.093311233192741,0.6157768998897282,,
R1_Sn,primary,hgb,residual,32,1.024841209258625,1.129537813745008,-1.024841209258625,0.9091041839049012,2.20055527728889,1.8148673521201812,,
R1_Sn,primary,hgb,adaptive,32,2.244266665672672,2.8637504385191734,-2.2109923288669613,1.6668837810379387,6.141350619080719,0.8287566180257656,,
R1_Sn,primary,mlp,data,32,2.625340019021614,3.2672823667897517,-2.3628351049870986,2.1341297297847746,6.437622207437755,,,
R1_Sn,primary,mlp,soft,32,3.49579029920179,4.748908364720309,-3.2816433134343974,2.561066679164469,9.706854806568595,0.751000430323601,,
R1_Sn,primary,mlp,residual,32,0.9717905201860475,1.102833111449846,-0.9717905201860475,0.8098571048186045,1.8190703885589754,2.701549320031438,,
R1_Sn,primary,mlp,adaptive,32,3.2980714589844773,4.410027862409089,-3.093675236294356,2.5569343956474313,8.7377951825821,0.7960227823050242,,
R1_Sn,primary,mlp,seed_robustness,5,,,,,,,0.0,1.0
R1_Sn,primary,ridge,data,32,3.6545898027674433,4.769575786267341,-3.6545898027674433,2.2397859925228545,9.66595980963848,,,
R1_Sn,primary,ridge,soft,32,3.6545898027674433,4.769575786267341,-3.6545898027674433,2.2397859925228545,9.66595980963848,1.0,,
R1_Sn,primary,ridge,residual,32,3.64864054327413,4.668463720353503,-3.64864054327413,2.4381431734007606,9.392684255283132,1.00163054140926,,
R1_Sn,primary,ridge,adaptive,32,3.69178464747063,5.052813134910943,-3.69178464747063,2.238852226784161,10.343326592295762,0.989924969017716,,
R1_Sn,primary,BWN,physics_only_shell_aware,32,0.7453588883030129,0.878577119191519,0.28421045233490005,0.7370045365368583,1.469207363074031,,,
R1_Ni,primary,physics,physics_only,22,1.7496697249020976,2.067592006956418,-0.6011136586848626,1.7481545239333514,3.44290943444274,,,
R1_Ni,primary,hgb,data,22,2.42626654409299,2.898844887692346,-1.7401437326235845,2.2737054187808496,4.5860504094322545,,,
R1_Ni,primary,hgb,soft,22,1.1257695496386786,1.4120513779714137,-1.0567256882603535,0.8502136371400297,2.713963872077957,2.1552071157651334,,
R1_Ni,primary,hgb,residual,22,0.7291784337013599,0.8028339120790858,-0.6841578844545624,0.6779177772179423,1.222156725716195,3.3273975641011404,,
R1_Ni,primary,hgb,adaptive,22,1.4521428586066454,1.6099774696972684,-1.262587542992595,1.3425161590792527,2.5635655273683424,1.6708180808195634,,
R1_Ni,primary,mlp,data,22,2.522808804213686,3.6810244576772684,-0.6643309514711188,1.2108177449831032,6.4293131838028925,,,
R1_Ni,primary,mlp,soft,22,1.4765947747045258,2.079410836453652,-0.6264005757993697,1.1128646869415775,4.412671610710205,1.708531580520128,,
R1_Ni,primary,mlp,residual,22,1.7233186632251922,2.062441273203806,-1.6624679051365427,1.440549861181978,3.801458505327818,1.4639247273584604,,
R1_Ni,primary,mlp,adaptive,22,1.4492315506006486,2.122654568326202,-0.6341670079547881,0.9557697660586086,4.44805353151604,1.7407906991592077,,
