method,observable,n,mae,rmse,bias,median_ae,p95_ae,regime
B_semf,Sn,98,0.5098245584692145,0.6652512126782856,-0.027777324817873483,0.36714854893682514,1.33870203223638,R0_random
B_semf,S2n,76,0.8396887760943108,1.1278997409516722,-0.00796357006220467,0.7283671096276407,2.206184653501282,R0_random
B_semf,Sp,86,0.6552234611909231,0.8883850431065142,0.056776461237506,0.5158413794102898,1.6783125638914385,R0_random
B_semf,S2p,82,1.0656110771911567,1.3961162797470967,0.02116588548604621,0.800667225454049,2.779852820992199,R0_random
B_semf,Qalpha,0,,,,,,R0_random
B_semf,delta2n,11,0.3811834690944057,0.48888478839396465,0.3084572382511588,0.2098548711001058,0.9302107102724335,R0_random
B_semf,delta2p,12,0.4952088646436342,0.5923226984575131,0.49090195756484906,0.49533854545535405,1.0101272218096824,R0_random
B_hgb_data,Sn,98,2.7429881956031705,3.624837749280164,0.15421168890477985,2.397143647103519,7.46312940621922,R0_random
B_hgb_data,S2n,76,2.471170657539868,3.251386859947119,-0.45060037371917466,1.9469589871267203,6.177761154804159,R0_random
B_hgb_data,Sp,86,2.53304384688479,3.2956140269813416,0.25407349064897267,2.0024651408665477,7.02766884162304,R0_random
B_hgb_data,S2p,82,2.60566426767989,3.240067932340144,0.1267299349498584,2.417645016775893,6.318257905044431,R0_random
B_hgb_data,Qalpha,0,,,,,,R0_random
B_hgb_data,delta2n,11,4.700227547303071,5.820766140125067,1.0078135672392612,4.282831731798979,10.734079288943008,R0_random
B_hgb_data,delta2p,12,3.7416337705774367,4.317754799830411,-1.9302988075965573,3.7437117430429225,6.6491416776160115,R0_random
B_hgb_soft,Sn,98,1.1719166809074126,1.4906794331774216,0.045018280671184484,0.9214327826681483,3.1247236547708206,R0_random
B_hgb_soft,S2n,76,1.189164906133142,1.5306050879148059,-0.18501829152498767,0.9962587393374633,2.918849959049453,R0_random
B_hgb_soft,Sp,86,1.0978720600702325,1.4142291642648483,0.1356952730020892,0.8736652702892798,2.928066373484384,R0_random
B_hgb_soft,S2p,82,1.1264958655867319,1.487982624467867,0.06339150527157171,0.8786620417005224,2.9986869171228374,R0_random
B_hgb_soft,Qalpha,0,,,,,,R0_random
B_hgb_soft,delta2n,11,1.8000830472372333,2.23680413861524,0.588199769846346,1.6509977001329617,4.091073435223095,R0_random
B_hgb_soft,delta2p,12,1.4578583620890886,1.6866315332767823,-0.47757834849972863,1.518218878515654,2.6224834148534395,R0_random
B_hgb_residual,Sn,98,0.32242507854951064,0.5018174539169301,0.0003413365788348728,0.1947502288932128,1.095667857506089,R0_random
B_hgb_residual,S2n,76,0.4065234154176687,0.605943988316664,-0.08997717516851815,0.2515773556165186,1.134609779233216,R0_random
B_hgb_residual,Sp,86,0.3494175519524523,0.6215620311775599,0.0994691732815038,0.19142700427210002,1.092084698812016,R0_random
B_hgb_residual,S2p,82,0.33667428813060846,0.4563395752849893,0.029487561091467388,0.27074786042271626,0.9282667579428961,R0_random
B_hgb_residual,Qalpha,0,,,,,,R0_random
B_hgb_residual,delta2n,11,0.4588037014786359,0.6692933070507886,-0.018399466473012313,0.2505702026662675,1.2909439866097472,R0_random
B_hgb_residual,delta2p,12,0.4016004189893181,0.5655977389871771,-0.1706594554511772,0.25963099548096125,1.2380387283985554,R0_random
B_hgb_adaptive,Sn,98,1.3378468607941576,1.7611172742741428,0.10159479766775745,1.0297284665580264,3.451394715608966,R0_random
B_hgb_adaptive,S2n,76,1.2857518786282345,1.6490980461631266,-0.21167167070033868,1.0224391743145134,2.915777473951266,R0_random
B_hgb_adaptive,Sp,86,1.254877787397075,1.6153609560161146,0.11611263267535503,1.0221865989178696,3.0496413371953253,R0_random
B_hgb_adaptive,S2p,82,1.2409295592925156,1.602427011939485,0.012492869960283662,0.9641125535832771,3.4483366167299674,R0_random
B_hgb_adaptive,Qalpha,0,,,,,,R0_random
B_hgb_adaptive,delta2n,11,2.0914073010805434,2.583785135412268,0.6293098743841767,1.8383617131937626,4.746008562983022,R0_random
B_hgb_adaptive,delta2p,12,1.7911887460785938,2.094738423984894,-0.6664724591569874,1.8650585220443645,3.2400008538919223,R0_random
B_mlp_data,Sn,98,1.3278783895590618,1.6665704830411328,-0.011620613377565243,1.111644768727274,3.1171983868539392,R0_random
B_mlp_data,S2n,76,1.5734401800329327,2.0675927369063696,0.174646255949906,1.2390409997741472,4.128989217708778,R0_random
B_mlp_data,Sp,86,1.60942296596077,1.99122252340515,-0.2487332414122691,1.485273364873251,3.441507369122803,R0_random
B_mlp_data,S2p,82,1.727465896749877,2.3638718738803273,0.19294942125375977,1.0943002236158463,5.1164556092492095,R0_random
B_mlp_data,Qalpha,0,,,,,,R0_random
B_mlp_data,delta2n,11,0.5823185087694598,1.0910652044243505,0.3429475416950538,0.3348964211437533,2.0364023780499565,R0_random
B_mlp_data,delta2p,12,1.1377485059375279,1.2875457995651138,-0.11629885523757366,1.0026557138714907,2.236456025390134,R0_random
B_mlp_soft,Sn,98,0.6385858551497491,0.8111021457923956,-0.021314640241750362,0.5514814844856346,1.6959210561869318,R0_random
B_mlp_soft,S2n,76,1.016444251128699,1.2916926800363762,0.06508036034264446,0.9016135247863417,2.4549815139002362,R0_random
B_mlp_soft,Sp,86,0.7616231299004605,0.9634700348051168,-0.0654274198224042,0.6623758892078513,1.7477882523592818,R0_random
B_mlp_soft,S2p,82,1.0126020626788395,1.3442194239146932,0.0898792997931419,0.8119523394385624,2.70768334802167,R0_random
