regime,family,mechanism,observable,n,G
R0_random,ridge,soft,Sn,98,1.0
R0_random,ridge,soft,S2n,76,1.0
R0_random,ridge,soft,Sp,86,1.0
R0_random,ridge,soft,S2p,82,1.0
R0_random,ridge,soft,delta2n,11,1.0
R0_random,ridge,soft,delta2p,12,1.0
R0_random,ridge,residual,Sn,98,1.3921053350191026
R0_random,ridge,residual,S2n,76,0.9844144853095161
R0_random,ridge,residual,Sp,86,1.1440495722142214
R0_random,ridge,residual,S2p,82,1.0407145818940748
R0_random,ridge,residual,delta2n,11,0.8706757676562438
R0_random,ridge,residual,delta2p,12,0.910928609212483
R0_random,ridge,adaptive,Sn,98,1.2580962380302259
R0_random,ridge,adaptive,S2n,76,1.0392692087484519
R0_random,ridge,adaptive,Sp,86,1.0803456536701441
R0_random,ridge,adaptive,S2p,82,0.8694524742485571
R0_random,ridge,adaptive,delta2n,11,0.9989644608599556
R0_random,ridge,adaptive,delta2p,12,0.7601094314529898
R0_random,hgb,soft,Sn,98,2.34060001047112
R0_random,hgb,soft,S2n,76,2.0780723050224204
R0_random,hgb,soft,Sp,86,2.3072304497144662
R0_random,hgb,soft,S2p,82,2.3130704224313665
R0_random,hgb,soft,delta2n,11,2.611117056247476
R0_random,hgb,soft,delta2p,12,2.5665276325031554
R0_random,hgb,residual,Sn,98,8.50736613895859
R0_random,hgb,residual,S2n,76,6.078790455405743
R0_random,hgb,residual,Sp,86,7.249332017612782
R0_random,hgb,residual,S2p,82,7.7394216295752765
R0_random,hgb,residual,delta2n,11,10.244528394507594
R0_random,hgb,residual,delta2p,12,9.31680743758626
R0_random,hgb,adaptive,Sn,98,2.0503005807218537
R0_random,hgb,adaptive,S2n,76,1.9219654263125434
R0_random,hgb,adaptive,Sp,86,2.018558199311939
R0_random,hgb,adaptive,S2p,82,2.099768071578086
R0_random,hgb,adaptive,delta2n,11,2.247399416113092
R0_random,hgb,adaptive,delta2p,12,2.0889109418361995
R0_random,mlp,soft,Sn,98,2.0794046389387577
R0_random,mlp,soft,S2n,76,1.5479847303831211
R0_random,mlp,soft,Sp,86,2.113148751366193
R0_random,mlp,soft,S2p,82,1.7059671912773562
R0_random,mlp,soft,delta2n,11,1.521036917216174
R0_random,mlp,soft,delta2p,12,2.271397415912939
R0_random,mlp,residual,Sn,98,4.824727661252184
R0_random,mlp,residual,S2n,76,4.3501497909184
R0_random,mlp,residual,Sp,86,5.3599083521279764
R0_random,mlp,residual,S2p,82,5.498616732463681
R0_random,mlp,residual,delta2n,11,2.296956314481052
R0_random,mlp,residual,delta2p,12,4.142645824730514
R0_random,mlp,adaptive,Sn,98,1.9645578427801456
R0_random,mlp,adaptive,S2n,76,1.4851759820412098
R0_random,mlp,adaptive,Sp,86,1.9278740579457385
R0_random,mlp,adaptive,S2p,82,1.655692582147423
R0_random,mlp,adaptive,delta2n,11,1.5326060717801713
R0_random,mlp,adaptive,delta2p,12,1.9115334411952822
R1_Ca,ridge,soft,Sn,18,1.0
R1_Ca,ridge,soft,S2n,17,1.0
R1_Ca,ridge,soft,delta2n,15,1.0
R1_Ca,ridge,residual,Sn,18,1.0316606994165507
R1_Ca,ridge,residual,S2n,17,0.9937198131979674
R1_Ca,ridge,residual,delta2n,15,1.0327810574464504
R1_Ca,ridge,adaptive,Sn,18,0.9829038573247428
R1_Ca,ridge,adaptive,S2n,17,0.9925517585716863
R1_Ca,ridge,adaptive,delta2n,15,1.0085739078761624
R1_Ca,hgb,soft,Sn,18,2.0280695831133486
R1_Ca,hgb,soft,S2n,17,1.4586900354197652
R1_Ca,hgb,soft,delta2n,15,1.4060916900314115
R1_Ca,hgb,residual,Sn,18,6.29951449050267
R1_Ca,hgb,residual,S2n,17,3.9437457668709985
R1_Ca,hgb,residual,delta2n,15,3.462613988697053
R1_Ca,hgb,adaptive,Sn,18,1.6922689335704675
R1_Ca,hgb,adaptive,S2n,17,1.3204457169678483
R1_Ca,hgb,adaptive,delta2n,15,1.2525483656166991
R1_Ca,mlp,soft,Sn,18,1.3931145654593375
R1_Ca,mlp,soft,S2n,17,1.325696072410961
R1_Ca,mlp,soft,delta2n,15,1.3088292311359788
R1_Ca,mlp,residual,Sn,18,1.6991135035700555
R1_Ca,mlp,residual,S2n,17,1.8508011730001783
R1_Ca,mlp,residual,delta2n,15,1.8001760094252184
R1_Ca,mlp,adaptive,Sn,18,1.4127378061703508
R1_Ca,mlp,adaptive,S2n,17,1.3524106709858443
R1_Ca,mlp,adaptive,delta2n,15,1.3096876836414666
R1_Sn,ridge,soft,Sn,31,1.0
R1_Sn,ridge,soft,S2n,30,1.0
R1_Sn,ridge,soft,delta2n,28,1.0
R1_Sn,ridge,residual,Sn,31,1.0173299327488499
R1_Sn,ridge,residual,S2n,30,0.9866193804150425
R1_Sn,ridge,residual,delta2n,28,0.9791685266055289
R1_Sn,ridge,adaptive,Sn,31,0.9043489030613472
R1_Sn,ridge,adaptive,S2n,30,0.8668957670751227
R1_Sn,ridge,adaptive,delta2n,28,0.9417709748579244
R1_Sn,hgb,soft,Sn,31,1.6860244612324509
R1_Sn,hgb,soft,S2n,30,1.4008339376342622
R1_Sn,hgb,soft,delta2n,28,2.0240035996719743
R1_Sn,hgb,residual,Sn,31,4.9959091717900685
R1_Sn,hgb,residual,S2n,30,5.563556784619819
R1_Sn,hgb,residual,delta2n,28,5.200664927912325
R1_Sn,hgb,adaptive,Sn,31,1.4780982688765014
R1_Sn,hgb,adaptive,S2n,30,1.4889758526830947
R1_Sn,hgb,adaptive,delta2n,28,1.6280485913938374
R1_Sn,mlp,soft,Sn,31,1.0705710417403915
R1_Sn,mlp,soft,S2n,30,1.0176913840111297
R1_Sn,mlp,soft,delta2n,28,1.4740361501177053
R1_Sn,mlp,residual,Sn,31,3.2397373383357135
R1_Sn,mlp,residual,S2n,30,5.100107606748977
R1_Sn,mlp,residual,delta2n,28,3.6928695879404194
R1_Sn,mlp,adaptive,Sn,31,1.0586330480222481
R1_Sn,mlp,adaptive,S2n,30,1.0098414901994788
R1_Sn,mlp,adaptive,delta2n,28,1.4713157140682083
R1_Ni,ridge,soft,Sn,21,1.0
R1_Ni,ridge,soft,S2n,20,1.0
R1_Ni,ridge,soft,delta2n,18,1.0
R1_Ni,ridge,residual,Sn,21,1.3681424709246353
R1_Ni,ridge,residual,S2n,20,1.238957252858096
R1_Ni,ridge,residual,delta2n,18,1.0416627675647332
R1_Ni,ridge,adaptive,Sn,21,1.1628531984866226
R1_Ni,ridge,adaptive,S2n,20,1.0337652640490398
R1_Ni,ridge,adaptive,delta2n,18,0.9649431377500356
R1_Ni,hgb,soft,Sn,21,2.2573116436068466
R1_Ni,hgb,soft,S2n,20,1.6346751970848095
R1_Ni,hgb,soft,delta2n,18,1.9900492377603813
R1_Ni,hgb,residual,Sn,21,5.294519328959741
R1_Ni,hgb,residual,S2n,20,4.0052357617248875
R1_Ni,hgb,residual,delta2n,18,3.718639078636953
R1_Ni,hgb,adaptive,Sn,21,1.7357707390354995
R1_Ni,hgb,adaptive,S2n,20,1.4939938010065923
R1_Ni,hgb,adaptive,delta2n,18,1.6362533965329609
R1_Ni,mlp,soft,Sn,21,1.5998421856283485
R1_Ni,mlp,soft,S2n,20,1.6103554316761313
R1_Ni,mlp,soft,delta2n,18,1.6284975905809507
R1_Ni,mlp,residual,Sn,21,2.8229653157802064
R1_Ni,mlp,residual,S2n,20,2.9404918299633254
R1_Ni,mlp,residual,delta2n,18,2.5264847727986752
R1_Ni,mlp,adaptive,Sn,21,1.5817245644394562
R1_Ni,mlp,adaptive,S2n,20,1.598609325841186
R1_Ni,mlp,adaptive,delta2n,18,1.5866286097386784
R1_Pb,ridge,soft,Sn,37,1.0
R1_Pb,ridge,soft,S2n,36,1.0
R1_Pb,ridge,soft,delta2n,34,1.0
R1_Pb,ridge,residual,Sn,37,0.9752876146248988
R1_Pb,ridge,residual,S2n,36,1.012137789945355
R1_Pb,ridge,residual,delta2n,34,1.000150935759339
R1_Pb,ridge,adaptive,Sn,37,0.9878911541801668
R1_Pb,ridge,adaptive,S2n,36,0.9359483009332324
R1_Pb,ridge,adaptive,delta2n,34,0.9767644649870558
R1_Pb,hgb,soft,Sn,37,2.0427727778452835
R1_Pb,hgb,soft,S2n,36,1.8206504522918303
R1_Pb,hgb,soft,delta2n,34,2.355367020853099
R1_Pb,hgb,residual,Sn,37,5.384285682623972
R1_Pb,hgb,residual,S2n,36,6.1261242995151965
R1_Pb,hgb,residual,delta2n,34,5.564803800712139
R1_Pb,hgb,adaptive,Sn,37,1.7182175841838971
R1_Pb,hgb,adaptive,S2n,36,1.8866561909859876
R1_Pb,hgb,adaptive,delta2n,34,1.8090080873739887
R1_Pb,mlp,soft,Sn,37,1.4701896858064578
R1_Pb,mlp,soft,S2n,36,1.5361297975809367
R1_Pb,mlp,soft,delta2n,34,1.7303821403157706
R1_Pb,mlp,residual,Sn,37,5.1870158510600355
R1_Pb,mlp,residual,S2n,36,9.150551506158289
R1_Pb,mlp,residual,delta2n,34,3.0633224501842733
R1_Pb,mlp,adaptive,Sn,37,1.4324710817753286
