regime,family,control,data_mae,physics_mae,soft_mae,residual_mae,G_soft,G_residual,nominal_mae,suppressed_mae,delta_mae
R0_random,ridge,P0_no_pairing,1.881313670267039,2.3751000146537806,1.881313670267039,1.817724211655495,1.0,1.0349830068850927,,,
R0_random,hgb,P0_no_pairing,2.2217380924534553,2.3751000146537806,1.67465054205597,0.36241931310846537,1.3266875904305535,6.130297178143292,,,
R0_random,mlp,P0_no_pairing,2.410675097989917,2.3751000146537806,1.9432814984859554,0.5096018353121101,1.2405177015620825,4.730507095826054,,,
R0_random,BWN,shell_suppressed_e_m1_0,,,,,,,0.7001271823374189,1.0651529562990094,0.3650257739615905
R1_Ca,ridge,P0_no_pairing,1.8109097823178277,3.0898961795962148,1.8109097823178277,2.0040409224450797,1.0,0.9036291435148851,,,
R1_Ca,hgb,P0_no_pairing,2.9685235113235295,3.0898961795962148,2.150243264927033,1.0137943062157702,1.3805524052759977,2.928131962394082,,,
R1_Ca,mlp,P0_no_pairing,2.284565066089897,3.0898961795962148,2.6322607589452396,2.0537566177281077,0.8679098597379592,1.1123835445590007,,,
R1_Sn,ridge,P0_no_pairing,3.6545898027674184,4.6506122481258885,3.6545898027674184,3.652702858345954,1.0,1.0005165885358436,,,
R1_Sn,hgb,P0_no_pairing,1.859950851790856,4.6506122481258885,3.320914422261115,1.5225866252150517,0.5600719004750713,1.2215730921241703,,,
R1_Sn,mlp,P0_no_pairing,2.625340019021614,4.6506122481258885,3.7291739683099543,1.0921899932551966,0.7040004143897334,2.4037393083935608,,,
R1_Sn,BWN,shell_suppressed_e_m1_0,,,,,,,0.7453588883030129,1.9918269015804526,1.2464680132774397
R2_neutron_rich,ridge,P0_no_pairing,2.833801196357184,3.446067394899978,2.833801196357184,2.7115702060116877,1.0,1.0450775679989786,,,
R2_neutron_rich,hgb,P0_no_pairing,8.788289489917284,3.446067394899978,3.132180549460798,1.185002221489125,2.805805524662421,7.416264147482813,,,
R2_neutron_rich,mlp,P0_no_pairing,9.026698266065921,3.446067394899978,3.7260271087759094,0.8207527393156593,2.422606707504984,10.998072663872374,,,
R3_proton_rich,ridge,P0_no_pairing,2.169841408600493,2.5067652540820986,2.169841408600493,2.0190538070799118,1.0,1.0746823096005846,,,
R3_proton_rich,hgb,P0_no_pairing,11.716032753549253,2.5067652540820986,3.7522164739448614,1.0923729404238658,3.122429858432901,10.725304811196773,,,
R3_proton_rich,mlp,P0_no_pairing,11.74840523652919,2.5067652540820986,3.8304455460256674,1.549024843970908,3.0671119313310466,7.584387869733764,,,
R4_magic_pm1,ridge,P0_no_pairing,3.1855237935711194,3.493894284187132,3.1855237935711194,3.1035222501554016,1.0,1.0264220897438747,,,
R4_magic_pm1,hgb,P0_no_pairing,2.7121310197786688,3.493894284187132,2.4552536906698315,1.2209332830269484,1.1046235385308625,2.2213589042758586,,,
R4_magic_pm1,mlp,P0_no_pairing,3.072033946330939,3.493894284187132,3.040104892163399,1.505309900157498,1.0105026159623127,2.0407983406005084,,,
R4_magic_pm1,BWN,shell_suppressed_e_m1_0,,,,,,,0.8598814230442644,1.8194794752898278,0.9595980522455634
