regime,family,mechanism,observable,n,mae,rmse,bias,median_ae,p95_ae,G_vs_data_MAE
R0_random,physics,physics_only,B/A,468,0.022005624163641508,0.03573019972536618,-0.0003579577760478712,0.012736550774022248,0.06917302889241286,
R0_random,BWN,physics_only_shell_aware,B/A,468,0.007516218224449505,0.013974515625711737,-0.0010487398647586995,0.004371541186733552,0.026451233479483673,
R0_random,ridge,data,B/A,468,0.018163241694356163,0.03064681019026368,-0.00046901509364496215,0.011489059697044723,0.05241649342396264,
R0_random,ridge,soft,B/A,468,0.018163241694356163,0.03064681019026368,-0.00046901509364496215,0.011489059697044723,0.05241649342396264,1.0
R0_random,ridge,residual,B/A,468,0.016974059954637268,0.025673821212357,-0.001383077854901266,0.01074647539920548,0.04863236354831048,1.0700587686680119
R0_random,ridge,adaptive,B/A,468,0.017506666119070834,0.028301849961370844,-0.00018572692305574676,0.010817946134237921,0.05526856080226716,1.0375043181162913
R0_random,hgb,data,B/A,468,0.02995087498366499,0.10077155949291357,0.006297278964501724,0.012779209478011921,0.08756869892103691,
R0_random,hgb,soft,B/A,468,0.017704804235289386,0.039137576604137365,0.0023041369201719014,0.008689709602910156,0.06321337004019252,1.691680663939035
R0_random,hgb,residual,B/A,468,0.004626240730381568,0.015294487484430363,-0.0011176058809716657,0.0016858322379653679,0.013121540209992207,6.474128072707248
R0_random,hgb,adaptive,B/A,468,0.017733098561884493,0.04386660213249056,0.004389523097190907,0.008417966470236404,0.05163309634030004,1.6889814760315705
R0_random,mlp,data,B/A,468,0.024136104314028177,0.04865866431375758,0.0027921105429948288,0.013080116791638563,0.07828459391029198,
R0_random,mlp,soft,B/A,468,0.018816404135130086,0.03158210096781699,0.0009020695515692145,0.010586287973593844,0.06248105811706922,1.2827160886157973
R0_random,mlp,residual,B/A,468,0.007401597350161031,0.01855340415990076,-0.001294651409053241,0.001361293861638302,0.04008121097273008,3.2609318194677352
R0_random,mlp,adaptive,B/A,468,0.01861433024809025,0.03125193002373854,0.0015228800382444318,0.010382012927084183,0.05934840173391693,1.2966410283015386
R0_random_broad,physics,physics_only,B/A,492,0.024781329737854265,0.05438113567587372,-3.8809128944640954e-07,0.013734228360991807,0.07355178414565937,
R0_random_broad,BWN,physics_only_shell_aware,B/A,0,,,,,,
R0_random_broad,ridge,data,B/A,492,0.019556316531601614,0.0351043262975266,0.0014828332052896588,0.011608646186323401,0.057413602904874336,
R0_random_broad,ridge,soft,B/A,492,0.019556316531601614,0.0351043262975266,0.0014828332052896588,0.011608646186323401,0.057413602904874336,1.0
R0_random_broad,ridge,residual,B/A,492,0.017900345986112433,0.029273963231373004,0.00022413385096417345,0.011253290440524477,0.05296344355793172,1.0925105328564
R0_random_broad,ridge,adaptive,B/A,492,0.019435430945979555,0.035323043822017154,0.0015851340224326386,0.012426827889332692,0.05475122124022675,1.0062198561975837
R0_random_broad,hgb,data,B/A,492,0.03476604721864108,0.1064674685183322,0.0032056058544626996,0.013772688016214563,0.10961061438165506,
R0_random_broad,hgb,soft,B/A,492,0.0186019810370254,0.04157985482257471,0.0012820094870114637,0.009304157112197231,0.05407361792864482,1.8689432673564557
R0_random_broad,hgb,residual,B/A,492,0.005803502900247268,0.025720115092940816,-0.00100768330641938,0.0014569972454432367,0.014475470248565561,5.990528102804913
R0_random_broad,hgb,adaptive,B/A,492,0.019559875518623555,0.050821878136669135,0.0032280532422291454,0.008934748027433326,0.055154841775530664,1.777416588645427
R0_random_broad,mlp,data,B/A,492,0.024568881493972038,0.04936209249779928,0.004285226444497398,0.011673241093808961,0.0978544531254764,
R0_random_broad,mlp,soft,B/A,492,0.019921631202489458,0.04021286183805944,0.0017138577230252586,0.01124045546823993,0.056986862950530875,1.2332765948855557
R0_random_broad,mlp,residual,B/A,492,0.008422608689861848,0.024317285248647777,-0.001191847549053119,0.001494747555114806,0.0453930137107761,2.917015665650618
R0_random_broad,mlp,adaptive,B/A,492,0.01909754021172056,0.03598151745209664,0.002957477411577993,0.010629562460720887,0.05680966243357106,1.286494554879565
R1_Ca,physics,physics_only,B/A,19,0.06142547590997064,0.07271229518077965,0.0021080671093458804,0.061854676673918974,0.11388189613772359,
R1_Ca,BWN,physics_only_shell_aware,B/A,19,0.026423075560981453,0.03188054373747173,-0.0001983158726708056,0.026393267787788943,0.060413829705120346,
R1_Ca,ridge,data,B/A,19,0.03899791542758163,0.04483645970636368,-0.007294908252229314,0.04004605891572055,0.06796034385625216,
R1_Ca,ridge,soft,B/A,19,0.03899791542758163,0.04483645970636368,-0.007294908252229314,0.04004605891572055,0.06796034385625216,1.0
R1_Ca,ridge,residual,B/A,19,0.04263645360981314,0.04949259999196966,-0.014890698080078058,0.034130425959258304,0.07901031825914533,0.9146613314622849
R1_Ca,ridge,adaptive,B/A,19,0.04333618030632014,0.05056033617201522,-0.004092548577217835,0.0471937012405963,0.07612913572001147,0.8998927720885033
R1_Ca,hgb,data,B/A,19,0.06668195585127863,0.0777127238492052,-0.038153282129731084,0.0725106798149806,0.11632381332407064,
R1_Ca,hgb,soft,B/A,19,0.04408507856464015,0.05328074551216371,-0.013996472586284961,0.04257902555837312,0.08872572986711177,1.5125742773375261
R1_Ca,hgb,residual,B/A,19,0.01190914068520354,0.015405368046068624,-0.01125392811808466,0.01167432231967247,0.028047433185194492,5.5992247983204475
R1_Ca,hgb,adaptive,B/A,19,0.04261442533327489,0.05269199888568793,-0.018013985903800024,0.040284568898171,0.08980051139303656,1.5647742596498406
R1_Ca,mlp,data,B/A,19,0.05087830575864832,0.05826191436444026,-0.024385356342946293,0.048786514710684514,0.09801632494242618,
R1_Ca,mlp,soft,B/A,19,0.05146661763985368,0.059518924688048765,-0.008489302271571157,0.05243212745384973,0.08881444879199288,0.9885690587766585
R1_Ca,mlp,residual,B/A,19,0.04125333106912002,0.04811853425841563,-0.0060710558841980955,0.04261660431864378,0.07155438750135373,1.233313878905964
R1_Ca,mlp,adaptive,B/A,19,0.04973089428521074,0.057347086341408636,-0.007617344653633302,0.05070611204419784,0.0849236629154225,1.0230724078046352
R1_Ca_broad,physics,physics_only,B/A,21,0.0692977705218188,0.07813627421505666,0.012275621815192293,0.0757233951951708,0.12412737501819393,
R1_Ca_broad,BWN,physics_only_shell_aware,B/A,0,,,,,,
R1_Ca_broad,ridge,data,B/A,21,0.039518071399229845,0.045796780432162926,-0.011036134313508921,0.03998188889143783,0.07066254913831038,
R1_Ca_broad,ridge,soft,B/A,21,0.039518071399229845,0.045796780432162926,-0.011036134313508921,0.03998188889143783,0.07066254913831038,1.0
R1_Ca_broad,ridge,residual,B/A,21,0.042665803206002426,0.05005899657269116,-0.017871804193450108,0.04317371712230589,0.08239023671539769,0.9262235427380928
R1_Ca_broad,ridge,adaptive,B/A,21,0.04350614121373953,0.050886869128369885,-0.005361104572259488,0.047758395416735766,0.07847529973774137,0.9083331754265022
R1_Ca_broad,hgb,data,B/A,21,0.057247440957234594,0.0680078428171937,-0.03608065636503956,0.058826990662371514,0.12023435890801615,
R1_Ca_broad,hgb,soft,B/A,21,0.04325863646671117,0.04957995911203184,-0.0070668894569007835,0.03611311186076449,0.09038649832918821,1.3233759922434964
R1_Ca_broad,hgb,residual,B/A,21,0.01156037617471515,0.01406230470183003,-0.00851919970221288,0.010827331439255516,0.022895863898440894,4.952039630202188
R1_Ca_broad,hgb,adaptive,B/A,21,0.03549040453694273,0.04566079083254254,-0.012877252380305106,0.02569443640739344,0.10038875757321364,1.6130399668351059
R1_Ca_broad,mlp,data,B/A,21,0.06286371763912585,0.07094437105154937,-0.035924282567876484,0.0588016262534552,0.11301142678648546,
R1_Ca_broad,mlp,soft,B/A,21,0.05363426754421602,0.06353871883688766,-0.00700433993803516,0.054362638966974686,0.09875262952854413,1.1720812181745763
R1_Ca_broad,mlp,residual,B/A,21,0.04568274046815774,0.052582235669014696,-0.01346444148253168,0.044398504707332975,0.08291832103696706,1.3760933997150142
R1_Ca_broad,mlp,adaptive,B/A,21,0.05280999166550566,0.062193344243601636,-0.011740430541108097,0.05890468874206434,0.09976023341550366,1.1903754508673225
R1_Ni,physics,physics_only,B/A,22,0.029118297406966465,0.035312464889509856,-0.011389662750947448,0.02712928017089311,0.06248957997554463,
R1_Ni,BWN,physics_only_shell_aware,B/A,0,,,,,,
R1_Ni,ridge,data,B/A,22,0.0289549048590635,0.041031490150596386,-0.0288770661487852,0.016406887905216827,0.09189384390108292,
R1_Ni,ridge,soft,B/A,22,0.0289549048590635,0.041031490150596386,-0.0288770661487852,0.016406887905216827,0.09189384390108292,1.0
R1_Ni,ridge,residual,B/A,22,0.026688688995766183,0.035432841297092406,-0.026688688995766183,0.01653853343867251,0.07538605134541666,1.0849129705717964
R1_Ni,ridge,adaptive,B/A,22,0.02391464576613288,0.03633885381342926,-0.02385212705048214,0.012186099399304595,0.08195406637498683,1.2107603492111292
R1_Ni,hgb,data,B/A,22,0.0391523601965246,0.046776987363320616,-0.026084909502962637,0.035712218953693586,0.08391309503658481,
R1_Ni,hgb,soft,B/A,22,0.018527236336120915,0.023832714391152,-0.01726776145175341,0.013119697181241285,0.049270246618196005,2.1132326206792484
R1_Ni,hgb,residual,B/A,22,0.011541230760303556,0.0125151355687371,-0.01092451090760777,0.010761653877939814,0.018626933418432044,3.392390379299098
R1_Ni,hgb,adaptive,B/A,22,0.023722477717961835,0.026553407694507963,-0.020096790711567246,0.022982429039279495,0.046215894073747946,1.6504330054393852
R1_Ni,mlp,data,B/A,22,0.04417367445125109,0.0670173012581835,-0.009880540727147391,0.020262242262116814,0.11648214062089553,
R1_Ni,mlp,soft,B/A,22,0.025355646451017236,0.03659950672469465,-0.010786013941427329,0.018519048699108254,0.07736308445999932,1.742163211519259
R1_Ni,mlp,residual,B/A,22,0.028948543569986593,0.03558380474393716,-0.028107457551462177,0.023717110240165873,0.06679793595410838,1.5259377158113638
R1_Ni,mlp,adaptive,B/A,22,0.02519825691086528,0.037717068383976024,-0.01080123793333897,0.016288179137863956,0.07834014913933326,1.7530448478046814
R1_Ni_broad,physics,physics_only,B/A,22,0.026200552993973503,0.03041808643886062,-0.0002817220094323987,0.024144094826289653,0.04845766510690277,
R1_Ni_broad,BWN,physics_only_shell_aware,B/A,0,,,,,,
R1_Ni_broad,ridge,data,B/A,22,0.029390738072939904,0.04120024444451972,-0.029316526507754483,0.015085809906879355,0.09213992398112242,
R1_Ni_broad,ridge,soft,B/A,22,0.029390738072939904,0.04120024444451972,-0.029316526507754483,0.015085809906879355,0.09213992398112242,1.0
R1_Ni_broad,ridge,residual,B/A,22,0.026157396711266854,0.03538897830844503,-0.026157396711266854,0.015646710053012214,0.0770259706801477,1.1236109769394729
R1_Ni_broad,ridge,adaptive,B/A,22,0.0227774823138418,0.03534918407830204,-0.022273076039681265,0.011108851613902182,0.08225809287021411,1.2903418239108564
R1_Ni_broad,hgb,data,B/A,22,0.04736233057084069,0.054741902081263595,-0.033497131675914525,0.04203585874324389,0.10289770574540567,
R1_Ni_broad,hgb,soft,B/A,22,0.020914546914579,0.028625698189254336,-0.013567885876024926,0.01687320121511604,0.04640852189184583,2.264564026382308
R1_Ni_broad,hgb,residual,B/A,22,0.010518819108871242,0.011684760419439425,-0.010441179713538902,0.011076055993556544,0.020174682877304926,4.50262810688481
R1_Ni_broad,hgb,adaptive,B/A,22,0.025888467100192193,0.0325226113928203,-0.018019891394297393,0.020888773677612882,0.05402479772220747,1.829476051538373
