transition,family,mechanism,observable,n,data_mae,physics_guided_mae,G_vintage
AME2012_to_AME2016_development,ridge,soft,B,32,1.6200252479031185,1.6200252479031185,1.0
AME2012_to_AME2016_development,ridge,soft,B/A,32,0.01588654749950391,0.01588654749950391,1.0
AME2012_to_AME2016_development,ridge,soft,Sn,6,0.6022491637882675,0.6022491637882675,1.0
AME2012_to_AME2016_development,ridge,soft,S2n,0,,,
AME2012_to_AME2016_development,ridge,soft,Sp,1,1.3484806776883715,1.3484806776883715,1.0
AME2012_to_AME2016_development,ridge,soft,S2p,0,,,
AME2012_to_AME2016_development,ridge,soft,Qalpha,0,,,
AME2012_to_AME2016_development,ridge,soft,delta2n,0,,,
AME2012_to_AME2016_development,ridge,soft,delta2p,0,,,
AME2012_to_AME2016_development,ridge,residual,B,32,1.6200252479031185,1.602574607729812,1.010889128087476
AME2012_to_AME2016_development,ridge,residual,B/A,32,0.01588654749950391,0.01615625063133236,0.9833065766319938
AME2012_to_AME2016_development,ridge,residual,Sn,6,0.6022491637882675,0.3919186134919528,1.5366689487449756
AME2012_to_AME2016_development,ridge,residual,S2n,0,,,
AME2012_to_AME2016_development,ridge,residual,Sp,1,1.3484806776883715,1.0814431509588758,1.2469270127539513
AME2012_to_AME2016_development,ridge,residual,S2p,0,,,
AME2012_to_AME2016_development,ridge,residual,Qalpha,0,,,
AME2012_to_AME2016_development,ridge,residual,delta2n,0,,,
AME2012_to_AME2016_development,ridge,residual,delta2p,0,,,
AME2012_to_AME2016_development,hgb,soft,B,32,3.6290905041591337,1.7227358884841522,2.106585535495169
AME2012_to_AME2016_development,hgb,soft,B/A,32,0.03774349710200739,0.013536036071406049,2.7883714924296004
AME2012_to_AME2016_development,hgb,soft,Sn,6,1.9111142538050292,0.7699273085571766,2.4822008942459863
AME2012_to_AME2016_development,hgb,soft,S2n,0,,,
AME2012_to_AME2016_development,hgb,soft,Sp,1,6.853089270729754,1.9128780146957638,3.582606532188992
AME2012_to_AME2016_development,hgb,soft,S2p,0,,,
AME2012_to_AME2016_development,hgb,soft,Qalpha,0,,,
AME2012_to_AME2016_development,hgb,soft,delta2n,0,,,
AME2012_to_AME2016_development,hgb,soft,delta2p,0,,,
AME2012_to_AME2016_development,hgb,residual,B,32,3.6290905041591337,0.546344939961422,6.642489458061766
AME2012_to_AME2016_development,hgb,residual,B/A,32,0.03774349710200739,0.0058198042122170335,6.48535512977835
AME2012_to_AME2016_development,hgb,residual,Sn,6,1.9111142538050292,0.4067407839233397,4.698604933025909
AME2012_to_AME2016_development,hgb,residual,S2n,0,,,
AME2012_to_AME2016_development,hgb,residual,Sp,1,6.853089270729754,0.728316452619481,9.409493972135001
AME2012_to_AME2016_development,hgb,residual,S2p,0,,,
AME2012_to_AME2016_development,hgb,residual,Qalpha,0,,,
AME2012_to_AME2016_development,hgb,residual,delta2n,0,,,
AME2012_to_AME2016_development,hgb,residual,delta2p,0,,,
AME2012_to_AME2016_development,mlp,soft,B,32,3.0103578967365134,2.0709073664204514,1.4536419858991065
AME2012_to_AME2016_development,mlp,soft,B/A,32,0.023694964622101966,0.020078820592058955,1.1800974321904731
AME2012_to_AME2016_development,mlp,soft,Sn,6,1.1066046469571045,0.5696356365099954,1.9426534718525934
AME2012_to_AME2016_development,mlp,soft,S2n,0,,,
AME2012_to_AME2016_development,mlp,soft,Sp,1,2.2810170544298103,1.7407645153680278,1.3103536028522293
AME2012_to_AME2016_development,mlp,soft,S2p,0,,,
AME2012_to_AME2016_development,mlp,soft,Qalpha,0,,,
AME2012_to_AME2016_development,mlp,soft,delta2n,0,,,
AME2012_to_AME2016_development,mlp,soft,delta2p,0,,,
AME2012_to_AME2016_development,mlp,residual,B,32,3.0103578967365134,0.677132336901284,4.445745288893771
AME2012_to_AME2016_development,mlp,residual,B/A,32,0.023694964622101966,0.00938236596854003,2.52547861611383
AME2012_to_AME2016_development,mlp,residual,Sn,6,1.1066046469571045,0.356744561792605,3.1019523924808525
AME2012_to_AME2016_development,mlp,residual,S2n,0,,,
AME2012_to_AME2016_development,mlp,residual,Sp,1,2.2810170544298103,0.34015624390025323,6.705792103874158
AME2012_to_AME2016_development,mlp,residual,S2p,0,,,
AME2012_to_AME2016_development,mlp,residual,Qalpha,0,,,
AME2012_to_AME2016_development,mlp,residual,delta2n,0,,,
AME2012_to_AME2016_development,mlp,residual,delta2p,0,,,
AME2016_to_AME2020_confirmation,ridge,soft,B,51,2.6484241813628335,2.6484241813628335,1.0
AME2016_to_AME2020_confirmation,ridge,soft,B/A,51,0.021533733530133638,0.021533733530133638,1.0
AME2016_to_AME2020_confirmation,ridge,soft,Sn,15,0.6197668857921674,0.6197668857921674,1.0
AME2016_to_AME2020_confirmation,ridge,soft,S2n,9,0.8627786395491562,0.8627786395491562,1.0
AME2016_to_AME2020_confirmation,ridge,soft,Sp,11,0.6715960516043072,0.6715960516043072,1.0
AME2016_to_AME2020_confirmation,ridge,soft,S2p,8,0.7890223047166103,0.7890223047166103,1.0
AME2016_to_AME2020_confirmation,ridge,soft,Qalpha,0,,,
AME2016_to_AME2020_confirmation,ridge,soft,delta2n,1,0.718905058264454,0.718905058264454,1.0
AME2016_to_AME2020_confirmation,ridge,soft,delta2p,1,0.027892321374793028,0.027892321374793028,1.0
AME2016_to_AME2020_confirmation,ridge,residual,B,51,2.6484241813628335,2.5887870265239163,1.023036717284154
AME2016_to_AME2020_confirmation,ridge,residual,B/A,51,0.021533733530133638,0.020563484255061867,1.0471831165884709
AME2016_to_AME2020_confirmation,ridge,residual,Sn,15,0.6197668857921674,0.4251198640523171,1.4578638595817208
AME2016_to_AME2020_confirmation,ridge,residual,S2n,9,0.8627786395491562,0.7682291261177296,1.1230746273696177
AME2016_to_AME2020_confirmation,ridge,residual,Sp,11,0.6715960516043072,0.5541574753519853,1.2119227502574574
AME2016_to_AME2020_confirmation,ridge,residual,S2p,8,0.7890223047166103,0.7646800097637652,1.0318333088900353
AME2016_to_AME2020_confirmation,ridge,residual,Qalpha,0,,,
AME2016_to_AME2020_confirmation,ridge,residual,delta2n,1,0.718905058264454,0.701821922697718,1.0243411255964625
AME2016_to_AME2020_confirmation,ridge,residual,delta2p,1,0.027892321374793028,0.10098360940583007,0.2762064214074599
AME2016_to_AME2020_confirmation,ridge,adaptive,B,51,2.6484241813628335,1.7983698640434573,1.472680472640991
AME2016_to_AME2020_confirmation,ridge,adaptive,B/A,51,0.021533733530133638,0.015051735272720147,1.430647904707805
AME2016_to_AME2020_confirmation,ridge,adaptive,Sn,15,0.6197668857921674,0.627737021348374,0.9873033845620787
AME2016_to_AME2020_confirmation,ridge,adaptive,S2n,9,0.8627786395491562,0.577638672824959,1.4936303266014235
AME2016_to_AME2020_confirmation,ridge,adaptive,Sp,11,0.6715960516043072,0.5446155665017407,1.2331561800890256
AME2016_to_AME2020_confirmation,ridge,adaptive,S2p,8,0.7890223047166103,0.5102658403774853,1.5462965424706971
AME2016_to_AME2020_confirmation,ridge,adaptive,Qalpha,0,,,
AME2016_to_AME2020_confirmation,ridge,adaptive,delta2n,1,0.718905058264454,0.6854623251308567,1.0487885794849674
AME2016_to_AME2020_confirmation,ridge,adaptive,delta2p,1,0.027892321374793028,0.005107050953029102,5.46153183732179
AME2016_to_AME2020_confirmation,hgb,soft,B,51,5.710226235207335,2.341550471128418,2.4386517846252174
AME2016_to_AME2020_confirmation,hgb,soft,B/A,51,0.05515981708491394,0.02143079130446516,2.57385816049738
AME2016_to_AME2020_confirmation,hgb,soft,Sn,15,3.597846732703624,1.4493858542333706,2.482324994545119
AME2016_to_AME2020_confirmation,hgb,soft,S2n,9,4.298500863695229,1.6778693954255839,2.5618804868926843
AME2016_to_AME2020_confirmation,hgb,soft,Sp,11,2.505413392128999,1.0020631105728006,2.500255089419319
AME2016_to_AME2020_confirmation,hgb,soft,S2p,8,4.815659052476917,1.8715895447344906,2.573031606222229
AME2016_to_AME2020_confirmation,hgb,soft,Qalpha,0,,,
AME2016_to_AME2020_confirmation,hgb,soft,delta2n,1,3.8431639132550117,1.93109294659439,1.9901496300489758
AME2016_to_AME2020_confirmation,hgb,soft,delta2p,1,1.4608295979799095,0.454892227200844,3.2113751579556538
AME2016_to_AME2020_confirmation,hgb,residual,B,51,5.710226235207335,0.5741132719001425,9.946166574948183
AME2016_to_AME2020_confirmation,hgb,residual,B/A,51,0.05515981708491394,0.005289010666593002,10.429137046994459
AME2016_to_AME2020_confirmation,hgb,residual,Sn,15,3.597846732703624,0.3874944356168195,9.284899090167624
AME2016_to_AME2020_confirmation,hgb,residual,S2n,9,4.298500863695229,0.4872678148402277,8.821639215191512
AME2016_to_AME2020_confirmation,hgb,residual,Sp,11,2.505413392128999,0.6771087342700329,3.7001640435638405
AME2016_to_AME2020_confirmation,hgb,residual,S2p,8,4.815659052476917,0.6433540424554565,7.48523944000917
AME2016_to_AME2020_confirmation,hgb,residual,Qalpha,0,,,
AME2016_to_AME2020_confirmation,hgb,residual,delta2n,1,3.8431639132550117,0.7742352672353263,4.9638192367267795
AME2016_to_AME2020_confirmation,hgb,residual,delta2p,1,1.4608295979799095,1.0372013964081361,1.4084338905045948
AME2016_to_AME2020_confirmation,hgb,adaptive,B,51,5.710226235207335,2.862965268258548,1.9945146727821421
AME2016_to_AME2020_confirmation,hgb,adaptive,B/A,51,0.05515981708491394,0.027687283505250782,1.9922437343646624
AME2016_to_AME2020_confirmation,hgb,adaptive,Sn,15,3.597846732703624,1.741799772017498,2.06559145919298
AME2016_to_AME2020_confirmation,hgb,adaptive,S2n,9,4.298500863695229,1.8761005003971656,2.291189018277671
AME2016_to_AME2020_confirmation,hgb,adaptive,Sp,11,2.505413392128999,1.2700079642205433,1.9727540792759322
AME2016_to_AME2020_confirmation,hgb,adaptive,S2p,8,4.815659052476917,2.21302383827404,2.1760538540934555
AME2016_to_AME2020_confirmation,hgb,adaptive,Qalpha,0,,,
AME2016_to_AME2020_confirmation,hgb,adaptive,delta2n,1,3.8431639132550117,2.3754295677222217,1.6178816520079724
AME2016_to_AME2020_confirmation,hgb,adaptive,delta2p,1,1.4608295979799095,0.9088841177397171,1.607278166123986
AME2016_to_AME2020_confirmation,mlp,soft,B,51,5.024513604137849,2.2117969909122484,2.2716884166053166
AME2016_to_AME2020_confirmation,mlp,soft,B/A,51,0.04503394585662329,0.02049395593923293,2.1974257185950052
AME2016_to_AME2020_confirmation,mlp,soft,Sn,15,1.4708108265089626,0.662096852873257,2.221443615274992
