regime,family,mechanism,observable,N,Z,A,paired_error_improvement
R0_random,hgb,soft,B,8,8,16,16.111877066587567
R0_random,hgb,soft,B/A,8,8,16,1.006992316661723
R0_random,hgb,soft,B,8,9,17,9.555740215806907
R0_random,hgb,soft,B/A,8,9,17,0.5621023656357003
R0_random,hgb,soft,B,10,11,21,8.30082498128175
R0_random,hgb,soft,B/A,10,11,21,0.39527738006103574
R0_random,hgb,soft,B,13,9,22,5.49986459562902
R0_random,hgb,soft,B/A,13,9,22,0.2499938452558646
R0_random,hgb,soft,B,14,9,23,3.737252700858704
R0_random,hgb,soft,B/A,14,9,23,0.16248924786342192
R0_random,hgb,soft,B,12,11,23,-0.6695334750572215
R0_random,hgb,soft,B/A,12,11,23,-0.02911015108944441
R0_random,hgb,soft,B,11,13,24,6.597559127646292
R0_random,hgb,soft,B/A,11,13,24,0.2748982969852622
R0_random,hgb,soft,B,16,9,25,0.4847271180980215
R0_random,hgb,soft,B/A,16,9,25,0.019389084723920855
R0_random,hgb,soft,B,14,11,25,-0.18633149644995228
R0_random,hgb,soft,B/A,14,11,25,-0.007453259857998093
R0_random,hgb,soft,B,13,12,25,0.146170593692176
R0_random,hgb,soft,B/A,13,12,25,0.005846823747687052
R0_random,hgb,soft,B,16,12,28,-0.6407533924126767
R0_random,hgb,soft,B/A,16,12,28,-0.02288404972902417
R0_random,hgb,soft,B,18,11,29,1.3018610861928437
R0_random,hgb,soft,B/A,18,11,29,0.04489176159285667
R0_random,hgb,soft,B,16,13,29,-0.37239819177844424
R0_random,hgb,soft,B/A,16,13,29,-0.012841316957877387
R0_random,hgb,soft,B,16,14,30,4.551244819066056
R0_random,hgb,soft,B/A,16,14,30,0.15170816063553522
R0_random,hgb,soft,B,16,15,31,3.4702890690095956
R0_random,hgb,soft,B/A,16,15,31,0.11194480867772888
R0_random,hgb,soft,B,21,11,32,12.323412388392768
R0_random,hgb,soft,B/A,21,11,32,0.385106637137274
R0_random,hgb,soft,B,14,18,32,7.5402221692849025
R0_random,hgb,soft,B/A,14,18,32,0.2356319427901532
R0_random,hgb,soft,B,21,12,33,7.123896155585868
R0_random,hgb,soft,B/A,21,12,33,0.21587564107835963
R0_random,hgb,soft,B,20,13,33,3.1768919569356058
R0_random,hgb,soft,B/A,20,13,33,0.0962694532404729
R0_random,hgb,soft,B,19,14,33,3.1430469573056143
R0_random,hgb,soft,B/A,19,14,33,0.09524384719107923
R0_random,hgb,soft,B,17,16,33,3.682916911087318
R0_random,hgb,soft,B/A,17,16,33,0.11160354276022177
R0_random,hgb,soft,B,15,18,33,4.50351246830121
R0_random,hgb,soft,B/A,15,18,33,0.13647007479700637
R0_random,hgb,soft,B,22,12,34,2.1699540251599956
R0_random,hgb,soft,B/A,22,12,34,0.06382217721058811
R0_random,hgb,soft,B,20,14,34,2.0365961872678895
R0_random,hgb,soft,B/A,20,14,34,0.05989988786082029
R0_random,hgb,soft,B,18,16,34,2.9562591008896106
R0_random,hgb,soft,B/A,18,16,34,0.08694879708498854
R0_random,hgb,soft,B,17,17,34,0.6647006093095911
R0_random,hgb,soft,B/A,17,17,34,0.019550017920870327
R0_random,hgb,soft,B,18,17,35,1.6578339648612541
R0_random,hgb,soft,B/A,18,17,35,0.047366684710321544
R0_random,hgb,soft,B,20,16,36,3.571430211840493
R0_random,hgb,soft,B/A,20,16,36,0.09920639477334703
R0_random,hgb,soft,B,21,17,38,-0.6144869576643259
R0_random,hgb,soft,B/A,21,17,38,-0.0161707094122191
R0_random,hgb,soft,B,23,16,39,-0.0033618910717905237
R0_random,hgb,soft,B/A,23,16,39,-8.620233517411813e-05
R0_random,hgb,soft,B,19,22,41,1.2676081537993582
R0_random,hgb,soft,B/A,19,22,41,0.03091727204388678
R0_random,hgb,soft,B,26,16,42,0.7295541275179289
R0_random,hgb,soft,B/A,26,16,42,0.017370336369474507
R0_random,hgb,soft,B,21,22,43,-1.6596768121037258
R0_random,hgb,soft,B/A,21,22,43,-0.03859713516520292
R0_random,hgb,soft,B,20,23,43,0.14230263284861167
R0_random,hgb,soft,B/A,20,23,43,0.0033093635546188743
R0_random,hgb,soft,B,24,21,45,-2.3606172295502006
R0_random,hgb,soft,B/A,24,21,45,-0.05245816065667113
R0_random,hgb,soft,B,29,18,47,-2.659515853428786
R0_random,hgb,soft,B/A,29,18,47,-0.056585443689974174
R0_random,hgb,soft,B,25,22,47,0.6310036150459268
R0_random,hgb,soft,B/A,25,22,47,0.013425608830764404
R0_random,hgb,soft,B,30,18,48,-2.755583056754574
R0_random,hgb,soft,B/A,30,18,48,-0.057407980349053624
R0_random,hgb,soft,B,26,22,48,-0.5781664075145159
R0_random,hgb,soft,B/A,26,22,48,-0.012045133489885746
R0_random,hgb,soft,B,27,22,49,-0.13504301578643663
R0_random,hgb,soft,B/A,27,22,49,-0.002755979914008909
R0_random,hgb,soft,B,32,19,51,2.0873578377596687
R0_random,hgb,soft,B/A,32,19,51,0.04092858505411115
R0_random,hgb,soft,B,28,23,51,-0.27419616375209444
R0_random,hgb,soft,B/A,28,23,51,-0.0053763953676881256
R0_random,hgb,soft,B,24,27,51,2.915184781026994
R0_random,hgb,soft,B/A,24,27,51,0.05716048590249009
R0_random,hgb,soft,B,33,19,52,0.03162188501039509
R0_random,hgb,soft,B/A,33,19,52,0.0006081131732768308
R0_random,hgb,soft,B,30,22,52,2.452320384474433
R0_random,hgb,soft,B/A,30,22,52,0.0471600073937391
R0_random,hgb,soft,B,28,24,52,3.783444266723393
R0_random,hgb,soft,B/A,28,24,52,0.07275854359083449
R0_random,hgb,soft,B,28,25,53,0.7530667351867351
R0_random,hgb,soft,B/A,28,25,53,0.014208806324278019
R0_random,hgb,soft,B,34,20,54,-1.951129559355877
R0_random,hgb,soft,B/A,34,20,54,-0.03613202887696069
R0_random,hgb,soft,B,30,24,54,2.4362391297590307
R0_random,hgb,soft,B/A,30,24,54,0.045115539439982054
R0_random,hgb,soft,B,28,26,54,0.22036052169318054
R0_random,hgb,soft,B/A,28,26,54,0.0040807504017255644
R0_random,hgb,soft,B,33,22,55,0.26133415841803753
R0_random,hgb,soft,B/A,33,22,55,0.004751530153055228
R0_random,hgb,soft,B,30,25,55,1.7028563760538304
R0_random,hgb,soft,B/A,30,25,55,0.030961025019160558
R0_random,hgb,soft,B,31,25,56,0.5648224047347412
R0_random,hgb,soft,B/A,31,25,56,0.010086114370263235
R0_random,hgb,soft,B,29,28,57,-0.8126785508960666
R0_random,hgb,soft,B/A,29,28,57,-0.0142575184367731
R0_random,hgb,soft,B,29,29,58,-1.7663045367922336
R0_random,hgb,soft,B/A,29,29,58,-0.030453526496417825
R0_random,hgb,soft,B,28,30,58,1.9779639521252648
R0_random,hgb,soft,B/A,28,30,58,0.03410282676078043
R0_random,hgb,soft,B,35,24,59,-1.262061493601209
R0_random,hgb,soft,B/A,35,24,59,-0.021390872772901845
R0_random,hgb,soft,B,31,28,59,-0.0357965389034689
R0_random,hgb,soft,B/A,31,28,59,-0.0006067209983638792
R0_random,hgb,soft,B,33,27,60,0.2037614663296381
R0_random,hgb,soft,B/A,33,27,60,0.003396024438827302
R0_random,hgb,soft,B,36,25,61,-0.9817081717905012
R0_random,hgb,soft,B/A,36,25,61,-0.016093576586729524
R0_random,hgb,soft,B,30,31,61,4.3515083793649865
R0_random,hgb,soft,B/A,30,31,61,0.07133620294040963
R0_random,hgb,soft,B,36,27,63,1.3819825449685368
R0_random,hgb,soft,B/A,36,27,63,0.02193623087251646
R0_random,hgb,soft,B,37,27,64,-0.5900073003068655
R0_random,hgb,soft,B/A,37,27,64,-0.009218864067294774
R0_random,hgb,soft,B,34,31,65,0.24173274272845902
R0_random,hgb,soft,B/A,34,31,65,0.0037189652727455235
R0_random,hgb,soft,B,33,32,65,1.3197810365134046
R0_random,hgb,soft,B/A,33,32,65,0.020304323638667764
R0_random,hgb,soft,B,40,26,66,-0.20426973819110117
R0_random,hgb,soft,B/A,40,26,66,-0.003094996033198502
R0_random,hgb,soft,B,41,26,67,2.92348509344572
R0_random,hgb,soft,B/A,41,26,67,0.04363410587232418
R0_random,hgb,soft,B,40,27,67,-0.11968198875024427
R0_random,hgb,soft,B/A,40,27,67,-0.0017862983395558855
R0_random,hgb,soft,B,34,33,67,-0.3042009267857111
R0_random,hgb,soft,B/A,34,33,67,-0.004540312340085239
R0_random,hgb,soft,B,39,29,68,0.3025764929224124
R0_random,hgb,soft,B/A,39,29,68,0.004449654307682535
R0_random,hgb,soft,B,38,30,68,1.1325655159470216
R0_random,hgb,soft,B/A,38,30,68,0.016655375234515022
R0_random,hgb,soft,B,42,27,69,0.06512536510467726
R0_random,hgb,soft,B/A,42,27,69,0.000943845871082279
R0_random,hgb,soft,B,37,32,69,-2.2586921998043863
R0_random,hgb,soft,B/A,37,32,69,-0.03273466956238241
R0_random,hgb,soft,B,38,32,70,-2.1317339571941147
R0_random,hgb,soft,B/A,38,32,70,-0.030453342245630212
R0_random,hgb,soft,B,36,34,70,2.1905427750683657
R0_random,hgb,soft,B/A,36,34,70,0.03129346821526237
R0_random,hgb,soft,B,35,35,70,0.7085245956063773
R0_random,hgb,soft,B/A,35,35,70,0.01012177993723396
R0_random,hgb,soft,B,39,32,71,-2.6308735994949757
R0_random,hgb,soft,B/A,39,32,71,-0.03705455773936585
R0_random,hgb,soft,B,42,31,73,-1.1116415972893492
R0_random,hgb,soft,B/A,42,31,73,-0.015227967086155467
R0_random,hgb,soft,B,41,32,73,-1.5520486122524062
R0_random,hgb,soft,B/A,41,32,73,-0.021260939893868576
R0_random,hgb,soft,B,37,36,73,-0.6177360633842
R0_random,hgb,soft,B/A,37,36,73,-0.008462137854578082
R0_random,hgb,soft,B,36,37,73,2.232753256288902
R0_random,hgb,soft,B/A,36,37,73,0.030585661045053454
R0_random,hgb,soft,B,38,36,74,0.7741620916521015
R0_random,hgb,soft,B/A,38,36,74,0.010461649887190562
R0_random,hgb,soft,B,43,32,75,-2.0756953182514053
R0_random,hgb,soft,B/A,43,32,75,-0.027675937576685402
R0_random,hgb,soft,B,40,35,75,-1.898561565225691
R0_random,hgb,soft,B/A,40,35,75,-0.025314154203009212
R0_random,hgb,soft,B,38,38,76,1.1603400411081566
R0_random,hgb,soft,B/A,38,38,76,0.015267632119844169
R0_random,hgb,soft,B,44,33,77,1.077685697118568
R0_random,hgb,soft,B/A,44,33,77,0.013995918144396987
R0_random,hgb,soft,B,43,34,77,0.5171955086340176
R0_random,hgb,soft,B/A,43,34,77,0.006716824787454775
R0_random,hgb,soft,B,40,37,77,-1.1413968337332108
R0_random,hgb,soft,B/A,40,37,77,-0.01482333550302871
R0_random,hgb,soft,B,49,29,78,-2.703767873340894
R0_random,hgb,soft,B/A,49,29,78,-0.03466369068385761
R0_random,hgb,soft,B,47,31,78,-0.8657786752715992
R0_random,hgb,soft,B/A,47,31,78,-0.011099726606046143
R0_random,hgb,soft,B,45,33,78,-1.647917185168808
R0_random,hgb,soft,B/A,45,33,78,-0.021127143399600104
R0_random,hgb,soft,B,49,30,79,-0.5692898770878401
R0_random,hgb,soft,B/A,49,30,79,-0.00720620097579544
R0_random,hgb,soft,B,42,37,79,-1.333391396715001
R0_random,hgb,soft,B/A,42,37,79,-0.01687837211031647
R0_random,hgb,soft,B,47,33,80,0.9413472470172337
R0_random,hgb,soft,B/A,47,33,80,0.011766840587715419
R0_random,hgb,soft,B,42,38,80,0.0033285185212434953
R0_random,hgb,soft,B/A,42,38,80,4.1606481515542304e-05
R0_random,hgb,soft,B,41,39,80,1.425087380725131
R0_random,hgb,soft,B/A,41,39,80,0.017813592259064134
R0_random,hgb,soft,B,49,32,81,-0.6151585633997456
R0_random,hgb,soft,B/A,49,32,81,-0.007594550165428961
R0_random,hgb,soft,B,42,39,81,-1.144214518994886
R0_random,hgb,soft,B/A,42,39,81,-0.01412610517277637
R0_random,hgb,soft,B,51,31,82,-3.2857118351619192
R0_random,hgb,soft,B/A,51,31,82,-0.04006965652636487
R0_random,hgb,soft,B,50,32,82,-1.5801030467351893
R0_random,hgb,soft,B/A,50,32,82,-0.019269549350429137
R0_random,hgb,soft,B,47,35,82,-0.24954275766015144
R0_random,hgb,soft,B/A,47,35,82,-0.0030432043617091634
R0_random,hgb,soft,B,45,37,82,-2.1374557340001274
R0_random,hgb,soft,B/A,45,37,82,-0.02606653334146497
R0_random,hgb,soft,B,42,40,82,-0.676399240206365
R0_random,hgb,soft,B/A,42,40,82,-0.008248771222028842
R0_random,hgb,soft,B,46,37,83,-1.338204661807822
R0_random,hgb,soft,B/A,46,37,83,-0.016122947732624366
R0_random,hgb,soft,B,45,38,83,-0.9476493875733922
R0_random,hgb,soft,B/A,45,38,83,-0.011417462500884244
R0_random,hgb,soft,B,43,40,83,-0.43352113212529275
R0_random,hgb,soft,B/A,43,40,83,-0.00522314617018425
R0_random,hgb,soft,B,52,32,84,-1.7692123616158142
R0_random,hgb,soft,B/A,52,32,84,-0.021062051923997786
R0_random,hgb,soft,B,49,35,84,0.28192443109799115
R0_random,hgb,soft,B/A,49,35,84,0.003356243227357038
R0_random,hgb,soft,B,47,39,86,0.977104035846537
R0_random,hgb,soft,B/A,47,39,86,0.01136167483542485
R0_random,hgb,soft,B,46,40,86,0.7413340994877444
R0_random,hgb,soft,B/A,46,40,86,0.008620163947531907
R0_random,hgb,soft,B,44,42,86,0.0109241359726866
R0_random,hgb,soft,B/A,44,42,86,0.00012702483689170464
R0_random,hgb,soft,B,47,40,87,-0.267812532030689
R0_random,hgb,soft,B/A,47,40,87,-0.0030783049658699886
R0_random,hgb,soft,B,54,34,88,0.6896602276469821
R0_random,hgb,soft,B/A,54,34,88,0.007837048041442977
R0_random,hgb,soft,B,50,38,88,-0.25710043381388914
R0_random,hgb,soft,B/A,50,38,88,-0.0029215958387941955
R0_random,hgb,soft,B,46,42,88,-0.17270498323910033
R0_random,hgb,soft,B/A,46,42,88,-0.001962556627717049
R0_random,hgb,soft,B,50,39,89,1.814215570149372
R0_random,hgb,soft,B/A,50,39,89,0.020384444608419913
R0_random,hgb,soft,B,55,35,90,2.2642249234725114
R0_random,hgb,soft,B/A,55,35,90,0.02515805470525013
R0_random,hgb,soft,B,51,40,91,-0.23096537062133393
R0_random,hgb,soft,B/A,51,40,91,-0.0025380809958388344
R0_random,hgb,soft,B,47,44,91,0.5187930168762023
R0_random,hgb,soft,B/A,47,44,91,0.005701022163474751
R0_random,hgb,soft,B,57,35,92,-0.25050821518425437
R0_random,hgb,soft,B/A,57,35,92,-0.002722915382437547
R0_random,hgb,soft,B,53,39,92,1.2687027935071455
R0_random,hgb,soft,B/A,53,39,92,0.01379024775551245
R0_random,hgb,soft,B,50,42,92,-0.2219574265166102
R0_random,hgb,soft,B/A,50,42,92,-0.002412580723006633
R0_random,hgb,soft,B,49,43,92,-0.4274883970060728
R0_random,hgb,soft,B/A,49,43,92,-0.0046466130109355745
R0_random,hgb,soft,B,48,44,92,0.05816094448334752
R0_random,hgb,soft,B/A,48,44,92,0.0006321841791668177
R0_random,hgb,soft,B,57,36,93,0.9768429274255368
R0_random,hgb,soft,B/A,57,36,93,0.010503687391672439
R0_random,hgb,soft,B,51,42,93,2.171439350801279
R0_random,hgb,soft,B/A,51,42,93,0.023348810223669667
R0_random,hgb,soft,B,49,44,93,0.6188712773090401
R0_random,hgb,soft,B/A,49,44,93,0.006654529863538067
R0_random,hgb,soft,B,50,44,94,-0.07970041729277
R0_random,hgb,soft,B/A,50,44,94,-0.000847876779710318
R0_random,hgb,soft,B,48,46,94,3.2503798442137395
R0_random,hgb,soft,B/A,48,46,94,0.03457850898099722
R0_random,hgb,soft,B,55,40,95,0.2279579432556602
R0_random,hgb,soft,B/A,55,40,95,0.0023995572974280024
R0_random,hgb,soft,B,58,38,96,0.16992771764637382
R0_random,hgb,soft,B/A,58,38,96,0.0017700803921497279
R0_random,hgb,soft,B,51,45,96,-1.3766125399579323
R0_random,hgb,soft,B/A,51,45,96,-0.014339713957895128
R0_random,hgb,soft,B,59,38,97,0.23627677419165138
R0_random,hgb,soft,B/A,59,38,97,0.0024358430329036243
R0_random,hgb,soft,B,58,39,97,0.27896667744562365
R0_random,hgb,soft,B/A,58,39,97,0.002875945128305399
R0_random,hgb,soft,B,57,40,97,-0.12561106296038815
R0_random,hgb,soft,B/A,57,40,97,-0.0012949594119627643
R0_random,hgb,soft,B,53,44,97,1.0102159605287397
R0_random,hgb,soft,B/A,53,44,97,0.010414597531224121
R0_random,hgb,soft,B,52,45,97,-0.568012213081488
R0_random,hgb,soft,B/A,52,45,97,-0.00585579601114936
R0_random,hgb,soft,B,54,45,99,-0.04340024427153821
R0_random,hgb,soft,B/A,54,45,99,-0.00043838630577311324
R0_random,hgb,soft,B,54,47,101,0.5737418928524676
R0_random,hgb,soft,B/A,54,47,101,0.005680612800519482
R0_random,hgb,soft,B,65,37,102,7.1054553637969775
R0_random,hgb,soft,B/A,65,37,102,0.0696613270960488
R0_random,hgb,soft,B,63,39,102,0.7768536132688268
R0_random,hgb,soft,B/A,63,39,102,0.00761621189479242
R0_random,hgb,soft,B,64,39,103,0.5884904034257943
R0_random,hgb,soft,B/A,64,39,103,0.005713499062386352
R0_random,hgb,soft,B,59,44,103,-0.5181630987705148
R0_random,hgb,soft,B/A,59,44,103,-0.005030709696801115
R0_random,hgb,soft,B,58,46,104,-0.56439708271364
R0_random,hgb,soft,B/A,58,46,104,-0.0054268950260926915
R0_random,hgb,soft,B,57,47,104,0.32790343760143514
R0_random,hgb,soft,B/A,57,47,104,0.0031529176692445694
R0_random,hgb,soft,B,62,43,105,0.8174180531872253
R0_random,hgb,soft,B/A,62,43,105,0.007784933839878336
R0_random,hgb,soft,B,61,44,105,-0.6190120777179118
R0_random,hgb,soft,B/A,61,44,105,-0.005895353121122968
R0_random,hgb,soft,B,58,47,105,2.086256434930533
R0_random,hgb,soft,B/A,58,47,105,0.019869108904100312
R0_random,hgb,soft,B,58,48,106,0.8180051873538332
R0_random,hgb,soft,B/A,58,48,106,0.007717030069375785
R0_random,hgb,soft,B,63,44,107,-1.9361102300339326
R0_random,hgb,soft,B/A,63,44,107,-0.01809448813115825
R0_random,hgb,soft,B,61,46,107,-1.3493272497296402
R0_random,hgb,soft,B/A,61,46,107,-0.012610535044202245
R0_random,hgb,soft,B,58,49,107,0.32153734431256
R0_random,hgb,soft,B/A,58,49,107,0.0030050219094631785
R0_random,hgb,soft,B,64,44,108,-1.1647236355644282
R0_random,hgb,soft,B/A,64,44,108,-0.010784478107078038
R0_random,hgb,soft,B,67,42,109,1.7527905705476314
R0_random,hgb,soft,B/A,67,42,109,0.016080647436216802
R0_random,hgb,soft,B,63,46,109,-1.9450571828936063
R0_random,hgb,soft,B/A,63,46,109,-0.017844561310950517
R0_random,hgb,soft,B,65,45,110,0.5841347568692754
R0_random,hgb,soft,B/A,65,45,110,0.005310315971538868
R0_random,hgb,soft,B,62,48,110,0.18518265834700287
R0_random,hgb,soft,B/A,62,48,110,0.0016834787122454817
R0_random,hgb,soft,B,58,52,110,-0.9838289676391696
R0_random,hgb,soft,B/A,58,52,110,-0.008943899705810634
R0_random,hgb,soft,B,66,45,111,2.5097724464947078
R0_random,hgb,soft,B/A,66,45,111,0.022610562581033403
R0_random,hgb,soft,B,63,48,111,0.5226416089543591
R0_random,hgb,soft,B/A,63,48,111,0.004708482963552784
R0_random,hgb,soft,B,69,43,112,-0.3859661336531417
R0_random,hgb,soft,B/A,69,43,112,-0.003446126193331623
R0_random,hgb,soft,B,65,47,112,-0.6254259872249577
R0_random,hgb,soft,B/A,65,47,112,-0.005584160600222838
R0_random,hgb,soft,B,59,53,112,2.17462496678138
R0_random,hgb,soft,B/A,59,53,112,0.01941629434626232
R0_random,hgb,soft,B,63,50,113,0.4870151017034914
R0_random,hgb,soft,B/A,63,50,113,0.004309868156668065
R0_random,hgb,soft,B,62,51,113,0.4744162542601771
R0_random,hgb,soft,B/A,62,51,113,0.004198373931505992
R0_random,hgb,soft,B,60,53,113,1.0035444862650138
R0_random,hgb,soft,B/A,60,53,113,0.008880924657212512
R0_random,hgb,soft,B,58,55,113,6.458861020870586
R0_random,hgb,soft,B/A,58,55,113,0.0571580621315981
R0_random,hgb,soft,B,70,44,114,-0.306778850285923
R0_random,hgb,soft,B/A,70,44,114,-0.0026910425463677456
R0_random,hgb,soft,B,63,51,114,-0.26013465310404627
R0_random,hgb,soft,B/A,63,51,114,-0.0022818829219653177
R0_random,hgb,soft,B,64,52,116,-0.962542554337233
R0_random,hgb,soft,B/A,64,52,116,-0.008297780640838215
R0_random,hgb,soft,B,73,45,118,0.016115876252456474
R0_random,hgb,soft,B/A,73,45,118,0.0001365752224784444
R0_random,hgb,soft,B,70,48,118,2.011769824024782
R0_random,hgb,soft,B/A,70,48,118,0.017048896813769338
R0_random,hgb,soft,B,68,50,118,2.1670954398617823
R0_random,hgb,soft,B/A,68,50,118,0.018365215592049004
R0_random,hgb,soft,B,67,52,119,-0.34594979375856383
R0_random,hgb,soft,B/A,67,52,119,-0.0029071411240215415
R0_random,hgb,soft,B,64,55,119,2.121797283233832
R0_random,hgb,soft,B/A,64,55,119,0.017830229270872536
R0_random,hgb,soft,B,71,49,120,0.6876220585679675
R0_random,hgb,soft,B/A,71,49,120,0.005730183821399729
R0_random,hgb,soft,B,65,55,120,-0.42286453489361975
R0_random,hgb,soft,B/A,65,55,120,-0.0035238711241134986
R0_random,hgb,soft,B,70,51,121,1.3987426869434785
R0_random,hgb,soft,B/A,70,51,121,0.011559856916888253
R0_random,hgb,soft,B,72,50,122,1.9523378777660128
R0_random,hgb,soft,B/A,72,50,122,0.01600276948988535
R0_random,hgb,soft,B,71,51,122,2.9832850164807496
R0_random,hgb,soft,B/A,71,51,122,0.02445315587279303
R0_random,hgb,soft,B,69,53,122,1.1689218760518543
R0_random,hgb,soft,B/A,69,53,122,0.00958132685288405
R0_random,hgb,soft,B,74,49,123,-0.33590040020067136
R0_random,hgb,soft,B/A,74,49,123,-0.0027308975626070845
R0_random,hgb,soft,B,70,53,123,-1.0441632083905006
R0_random,hgb,soft,B/A,70,53,123,-0.008489131775532524
R0_random,hgb,soft,B,72,53,125,-0.20800750335752127
R0_random,hgb,soft,B/A,72,53,125,-0.0016640600268601705
R0_random,hgb,soft,B,69,56,125,0.16940976525324913
R0_random,hgb,soft,B/A,69,56,125,0.001355278122025995
R0_random,hgb,soft,B,69,57,126,2.5020593134670435
R0_random,hgb,soft,B/A,69,57,126,0.01985761359894479
R0_random,hgb,soft,B,68,58,126,1.5235796615856998
R0_random,hgb,soft,B/A,68,58,126,0.012091902076076983
R0_random,hgb,soft,B,78,49,127,-1.2971607980316548
R0_random,hgb,soft,B/A,78,49,127,-0.010213864551430354
R0_random,hgb,soft,B,74,54,128,1.9543857056241905
R0_random,hgb,soft,B/A,74,54,128,0.015268638325188988
R0_random,hgb,soft,B,75,54,129,1.6699566149814018
R0_random,hgb,soft,B/A,75,54,129,0.012945400116134896
R0_random,hgb,soft,B,73,56,129,-0.6718342050996853
R0_random,hgb,soft,B/A,73,56,129,-0.00520801709379601
R0_random,hgb,soft,B,77,53,130,-0.1875550944164388
R0_random,hgb,soft,B/A,77,53,130,-0.0014427314955110671
R0_random,hgb,soft,B,75,55,130,2.0950896392996583
R0_random,hgb,soft,B/A,75,55,130,0.016116074148458913
R0_random,hgb,soft,B,73,57,130,-0.30246441426038473
R0_random,hgb,soft,B/A,73,57,130,-0.0023266493404644987
R0_random,hgb,soft,B,70,60,130,0.2804794812491309
R0_random,hgb,soft,B/A,70,60,130,0.002157534471147161
R0_random,hgb,soft,B,81,50,131,-5.238149542514748
R0_random,hgb,soft,B/A,81,50,131,-0.03998587437034158
R0_random,hgb,soft,B,75,56,131,2.2079511379251926
R0_random,hgb,soft,B/A,75,56,131,0.016854588839123608
R0_random,hgb,soft,B,82,50,132,-4.249803281445793
R0_random,hgb,soft,B/A,82,50,132,-0.03219547940489237
R0_random,hgb,soft,B,78,54,132,1.098689801745877
R0_random,hgb,soft,B/A,78,54,132,0.008323407588983919
R0_random,hgb,soft,B,77,55,132,2.479994487945987
R0_random,hgb,soft,B/A,77,55,132,0.018787837029893846
R0_random,hgb,soft,B,75,57,132,3.6711936264471206
R0_random,hgb,soft,B/A,75,57,132,0.027812072927629702
R0_random,hgb,soft,B,76,57,133,1.7133059809304996
R0_random,hgb,soft,B/A,76,57,133,0.012881999856620297
R0_random,hgb,soft,B,73,60,133,2.084435803633596
