regime,stage_index,cumulative_stage,n,B_mae,B_rmse,BA_mae,BA_rmse,fit_condition_number
R0_random,1,volume,468,1087.2989764601462,1204.9936208042184,7.591651602789755,7.600484344091405,11653.838474671118
R0_random,2,volume+surface,468,614.6709161686822,718.4682094923962,3.9220562551458475,4.050506372545401,11653.838474671118
R0_random,3,volume+surface+coulomb,468,101.08725989827819,129.8335129573988,0.6540480309510096,0.7743582161261926,11653.838474671118
R0_random,4,volume+surface+coulomb+asymmetry,468,2.3771186473465353,3.2094804121921405,0.02376129786948666,0.04018904230108896,11653.838474671118
R0_random,5,volume+surface+coulomb+asymmetry+pairing,468,2.2527708734558165,3.0677155141729546,0.022005624163641508,0.035730199725366105,11653.838474671118
R1_Ca,1,volume,19,326.7235657666908,328.93154087680045,7.270928104405994,7.27460379539686,11906.909746826066
R1_Ca,2,volume+surface,19,101.11080613008086,103.22416870699149,2.232161878495284,2.244374809549778,11906.909746826066
R1_Ca,3,volume+surface+coulomb,19,24.575605077509284,33.92910987019891,0.49705258232727895,0.6599547965457447,11906.909746826066
R1_Ca,4,volume+surface+coulomb+asymmetry,19,3.0933201537716797,3.7414642254325354,0.06557119803712054,0.07645977222563753,11906.909746826066
R1_Ca,5,volume+surface+coulomb+asymmetry+pairing,19,2.889388134683438,3.4963975277384236,0.06142547590997083,0.07271229518077965,11906.909746826066
R1_Sn,1,volume,32,869.8050069559201,872.875384835807,7.275403164837719,7.275774928173947,11836.328047661653
R1_Sn,2,volume+surface,32,437.17428270333284,440.14332891809295,3.647812875454453,3.650790620136718,11836.328047661653
R1_Sn,3,volume+surface+coulomb,32,81.54372634439306,101.08601804561265,0.6481458824300121,0.7860169765709497,11836.328047661653
R1_Sn,4,volume+surface+coulomb+asymmetry,32,4.641337867012229,6.470450669722565,0.03729894653328475,0.05069159957783602,11836.328047661653
R1_Sn,5,volume+surface+coulomb+asymmetry+pairing,32,4.285946164832055,6.114285984087877,0.03431043123181865,0.04766009740808395,11836.328047661653
R1_Ni,1,volume,22,444.32313020419826,446.4397533394534,7.1153930896671715,7.117777774115595,11882.267337284467
R1_Ni,2,volume+surface,22,163.24151014711924,165.20068011329784,2.6024719199520563,2.609315197752111,11882.267337284467
R1_Ni,3,volume+surface+coulomb,22,28.10309326205156,39.79727531170512,0.4123634839775879,0.5679680130049428,11882.267337284467
R1_Ni,4,volume+surface+coulomb+asymmetry,22,2.004711184976587,2.5167423908890534,0.03376770532694524,0.043705988194697724,11882.267337284467
R1_Ni,5,volume+surface+coulomb+asymmetry+pairing,22,1.7496697249020976,2.0675920069564118,0.029118297406966386,0.0353124648895097,11882.267337284467
R1_Pb,1,volume,38,1550.9379483223058,1553.1258080014725,7.8942772741325316,7.894467137284354,11656.88910030865
R1_Pb,2,volume+surface,38,948.2414494240664,950.1501855597874,4.8239251078356045,4.824246030571365,11656.88910030865
R1_Pb,3,volume+surface+coulomb,38,130.64634685399793,150.75557703303107,0.6457442132173521,0.7315940811582439,11656.88910030865
R1_Pb,4,volume+surface+coulomb+asymmetry,38,4.174726953884655,5.088488816206668,0.0208554851884895,0.025074392381444318,11656.88910030865
R1_Pb,5,volume+surface+coulomb+asymmetry+pairing,38,3.7751430388966702,4.737966312897856,0.018807171980267927,0.023270099946290833,11656.88910030865
R2_neutron_rich,1,volume,491,1151.36101609518,1261.082307179853,7.683214365430982,7.689761090597889,11808.92094394807
R2_neutron_rich,2,volume+surface,491,656.3022459688314,753.4158546619169,4.070530329617821,4.166041985008686,11808.92094394807
R2_neutron_rich,3,volume+surface+coulomb,491,176.48649386446814,192.98870655921525,1.1940762558861306,1.2089029642311755,11808.92094394807
R2_neutron_rich,4,volume+surface+coulomb+asymmetry,491,3.460019255294539,4.758427714595376,0.03167264332181843,0.05182551091634235,11808.92094394807
R2_neutron_rich,5,volume+surface+coulomb+asymmetry+pairing,491,3.3987298856776285,4.711465477034021,0.03109906765697402,0.05209266006411674,11808.92094394807
R3_proton_rich,1,volume,491,987.5054013574257,1102.4900591540531,7.723079717636111,7.730730771251928,12000.93593098178
R3_proton_rich,2,volume+surface,491,541.9967240389291,642.1915754574839,3.8351618683749606,3.9613059167676568,12000.93593098178
R3_proton_rich,3,volume+surface+coulomb,491,33.260650735689836,55.061355315766505,0.20035560124726515,0.2749037193637354,12000.93593098178
R3_proton_rich,4,volume+surface+coulomb+asymmetry,491,2.517872634179057,3.1541694662010222,0.026292484686041076,0.03893577752809762,12000.93593098178
R3_proton_rich,5,volume+surface+coulomb+asymmetry+pairing,491,2.3734973697388932,2.9996695754019136,0.02320351170436096,0.032084477794693415,12000.93593098178
R4_magic_pm1,1,volume,524,889.1832052139498,1014.5702914260083,7.472757790880111,7.480535346774743,12677.067920690746
R4_magic_pm1,2,volume+surface,524,472.0326286119788,582.716118066331,3.5290665511347465,3.66897957539974,12677.067920690746
R4_magic_pm1,3,volume+surface+coulomb,524,75.22553491686375,101.3296030839805,0.5937005320047293,0.7299041172668773,12677.067920690746
R4_magic_pm1,4,volume+surface+coulomb+asymmetry,524,3.5336954416821595,4.709385212837948,0.036298310251886186,0.04950758931318583,12677.067920690746
R4_magic_pm1,5,volume+surface+coulomb+asymmetry+pairing,524,3.492026634910258,4.703755923038174,0.03507951978461233,0.04882938537685074,12677.067920690746
R6_N50,1,volume,19,634.7995532263615,636.2537687973054,7.1309520011832435,7.131796693370024,11844.499017069751
R6_N50,2,volume+surface,19,278.71236542803706,280.21273463201095,3.1249012276925554,3.128509448657615,11844.499017069751
R6_N50,3,volume+surface+coulomb,19,39.57861501282611,51.99456233961756,0.46925717967444164,0.6290045462656109,11844.499017069751
R6_N50,4,volume+surface+coulomb+asymmetry,19,3.9280075280709488,4.788859826780992,0.04383563059242207,0.05294965030992006,11844.499017069751
R6_N50,5,volume+surface+coulomb+asymmetry+pairing,19,3.297874336719701,4.195686656157799,0.03671082463880871,0.046161776132830665,11844.499017069751
R6_N82,1,volume,22,1042.545166755108,1044.19150865087,7.416930706992036,7.417610874166951,11800.297425994828
R6_N82,2,volume+surface,22,560.9039329842584,562.6589961598519,3.986544345053997,3.989074569568441,11800.297425994828
R6_N82,3,volume+surface+coulomb,22,94.52958111650301,107.50837858272554,0.6906579083543922,0.7981342667088795,11800.297425994828
R6_N82,4,volume+surface+coulomb+asymmetry,22,5.836458525025157,7.0895130243765045,0.042722481767686,0.05292155051990095,11800.297425994828
R6_N82,5,volume+surface+coulomb+asymmetry+pairing,22,5.365197735048293,6.662758552044242,0.039345981794771265,0.04983215982870663,11800.297425994828
R6_N126,1,volume,14,1690.392015522848,1691.140160490257,7.953174112275588,7.953643316655264,11731.315891199223
R6_N126,2,volume+surface,14,1055.0358910397242,1055.8830569190898,4.962904152788384,4.964015169280479,11731.315891199223
R6_N126,3,volume+surface+coulomb,14,167.19819537842415,170.90935167682835,0.7902589304994253,0.8109651897794243,11731.315891199223
R6_N126,4,volume+surface+coulomb+asymmetry,14,5.886024176249082,6.572449885687009,0.02795851042766064,0.03139965008167757,11731.315891199223
R6_N126,5,volume+surface+coulomb+asymmetry+pairing,14,5.4953329637392345,6.191202830426813,0.026114642490807922,0.029594175981775384,11731.315891199223
R7_light_random,1,volume,509,981.007269401396,1099.4061282498728,7.232115295783921,7.258259441325882,10273.83778575951
R7_light_random,2,volume+surface,509,559.7675770123325,662.7119286817025,3.7363201679610905,3.8495837828718247,10273.83778575951
