N,Z,A,B_total_MeV,B_1_volume,residual_B_1_volume,residual_BA_1_volume,B_2_surface,residual_B_2_surface,residual_BA_2_surface,B_3_coulomb,residual_B_3_coulomb,residual_BA_3_coulomb,B_4_asymmetry,residual_B_4_asymmetry,residual_BA_4_asymmetry,B_5_pairing,residual_B_5_pairing,residual_BA_5_pairing,is_magic_Z,is_magic_N
8,8,16,127.6193152,251.5491103097246,-123.9297951097246,-7.745612194357787,138.20471052602528,-10.585395326025278,-0.6615872078765799,122.31048126937173,5.308833930628268,0.33180212066426673,122.31048126937173,5.308833930628268,0.33180212066426673,125.20958027606477,2.4097349239352326,0.15060843274595204,False,False
9,8,17,131.76239470000002,267.2709297040824,-135.50853500408238,-7.971090294357786,149.25172253137487,-17.48932783137485,-1.0287839900808735,133.67546352880774,-1.9130688288077238,-0.1125334605181014,132.30904644262176,-0.5466517426217479,-0.032155984860102814,132.30904644262176,-0.5466517426217479,-0.032155984860102814,False,False
8,9,17,128.2195828,267.2709297040824,-139.05134690408238,-8.179490994357787,149.25172253137487,-21.032139731374855,-1.2371846900808738,129.22510381378856,-1.0055210137885524,-0.059148294928738375,127.85868672760259,0.3608960723974235,0.021229180729260205,127.85868672760259,0.3608960723974235,0.021229180729260205,False,False
10,8,18,139.8077658,282.9927490984402,-143.1849832984402,-7.954721294357788,160.38956518484656,-20.581799384846562,-1.1434332991581424,145.10726830766257,-5.299502507662567,-0.2944168059812537,139.9452482042933,-0.1374824042933085,-0.00763791134962825,142.67854496024506,-2.870779160245064,-0.15948773112472578,False,False
9,9,18,137.3694894,282.9927490984402,-145.6232596984402,-8.090181094357789,160.38956518484656,-23.02007578484657,-1.2788930991581426,140.74089777132426,-3.3714083713242644,-0.18730046507357023,140.74089777132426,-3.3714083713242644,-0.18730046507357023,138.0076010153725,-0.6381116153725088,-0.035450645298472715,False,False
8,10,18,132.1426386,282.9927490984402,-150.8501104984402,-8.380561694357787,160.38956518484656,-28.246926584846562,-1.5692736991581424,135.8287309179437,-3.6860923179436895,-0.2047829065524272,130.66671081457443,1.4759277854255686,0.08199598807919825,133.40000757052618,-1.257368970526187,-0.06985383169589927,False,False
11,8,19,143.7634088,298.714568492798,-154.95115969279797,-8.155324194357789,171.61156520110706,-27.848156401107047,-1.465692442163529,156.60222504281109,-12.838816242811077,-0.6757271706742672,145.59897166457662,-1.835562864576616,-0.0966085718198219,145.59897166457662,-1.835562864576616,-0.0966085718198219,False,False
10,9,19,147.8013648,298.714568492798,-150.913203692798,-7.9428001943577895,171.61156520110706,-23.810200401107068,-1.2531684421635298,152.3138421404408,-4.5124773404408245,-0.23749880739162235,151.0912584317481,-3.2898936317481002,-0.17315229640779475,151.0912584317481,-3.2898936317481002,-0.17315229640779475,False,False
9,10,19,143.7795189,298.714568492798,-154.93504959279798,-8.154476294357789,171.61156520110706,-27.832046301107056,-1.4648445421635292,147.48941137527424,-3.709892475274245,-0.19525749869864448,146.26682766658152,-2.4873087665815206,-0.13091098771481688,146.26682766658152,-2.4873087665815206,-0.13091098771481688,False,False
8,11,19,131.81984160000002,298.714568492798,-166.89472689279796,-8.783932994357787,171.61156520110706,-39.79172360110704,-2.094301242163528,142.12893274731138,-10.309091147311364,-0.5425837445953349,131.12567936907692,0.6941622309230979,0.03653485425911042,131.12567936907692,0.6941622309230979,0.03653485425911042,False,False
12,8,20,151.371414,314.4363878871558,-163.0649738871558,-8.153248694357789,182.9118627900154,-31.540448790015404,-1.5770224395007701,168.15696738270248,-16.78555338270249,-0.8392776691351245,149.57369501057318,1.7977189894268122,0.08988594947134061,152.16672799156026,-0.7953139915602776,-0.03976569957801388,False,False
11,9,20,154.40270200000003,314.4363878871558,-160.03368588715574,-8.001684294357787,182.9118627900154,-28.509160790015358,-1.4254580395007679,163.94128298061307,-9.538580980613034,-0.4769290490306517,159.29546488758075,-4.892762887580716,-0.2446381443790358,156.70243190659366,-2.299729906593626,-0.1149864953296813,False,False
10,10,20,160.64482400000003,314.4363878871558,-153.79156388715575,-7.689578194357788,182.9118627900154,-22.267038790015363,-1.113351939500768,159.19863802826248,1.446185971737549,0.07230929858687744,159.19863802826248,1.446185971737549,0.07230929858687744,161.79167100924957,-1.1468470092495409,-0.05734235046247704,False,False
9,11,20,145.970056,314.4363878871558,-168.46633188715577,-8.42331659435779,182.9118627900154,-36.94180679001539,-1.8470903395007696,153.9290325256507,-7.958976525650712,-0.3979488262825356,149.2832144326184,-3.313158432618394,-0.1656579216309197,146.6901814516313,-0.7201254516313043,-0.03600627258156521,False,False
8,12,20,134.560504,314.4363878871558,-179.87588388715577,-8.993794194357788,182.9118627900154,-48.35135879001538,-2.417567939500769,148.1324664727778,-13.571962472777784,-0.6785981236388892,129.5491941006485,5.011309899351517,0.25056549496757585,132.14222708163558,2.418276918364427,0.12091384591822134,False,False
13,8,21,155.1768687,330.1582072815135,-174.9813385815135,-8.332444694357786,194.28527697628044,-39.10840827628044,-1.8623051560133543,179.76840537556822,-24.59153667556822,-1.1710255559794391,152.11472625037578,3.0621424496242184,0.1458163071249628,152.11472625037578,3.0621424496242184,0.1458163071249628,False,False
