regime,model,removed_term,n,B_mae,B_rmse,BA_mae,BA_rmse,rank,condition_number
R0_random,full,none,468,2.2527708734558134,3.067715514172955,0.02200562416364152,0.03573019972536618,5,11653.838474671118
R0_random,term_removed_refit,surface,468,11.626358044167068,14.450590521590696,0.16441288044882402,0.3473749588517761,4,11645.537626104202
R0_random,term_removed_refit,coulomb,468,21.522473381371324,26.271955482787902,0.2766477339249116,0.5685681616583793,4,2150.278160238653
R0_random,term_removed_refit,asymmetry,468,19.297284628656612,23.819267497294927,0.2475075059015006,0.5056979600683923,4,11649.496432053023
R0_random,term_removed_refit,pairing,468,2.375100014653774,3.2069142938862916,0.02371944886687455,0.04006126843046725,4,1379.3140345951408
R1_Ca,full,none,19,2.8893881346834234,3.496397527738419,0.06142547590997055,0.0727122951807797,5,11906.909746826066
R1_Ca,term_removed_refit,surface,19,26.54733181707321,27.006365545194754,0.6090920609396361,0.637393402661664,4,11899.913997974254
R1_Ca,term_removed_refit,coulomb,19,40.388362977410736,41.62049129534081,0.9286477388738162,0.9890317288138916,4,2194.01936426168
R1_Ca,term_removed_refit,asymmetry,19,36.71730993404687,37.742487597288076,0.8324762508899175,0.8708066613199757,4,11905.160793260733
R1_Ca,term_removed_refit,pairing,19,3.0898961795962117,3.735583947850929,0.06550180492737571,0.07634061375592063,4,1395.5396627154132
R1_Sn,full,none,32,4.285946164832051,6.114285984087856,0.03431043123181865,0.04766009740808382,5,11836.328047661653
R1_Sn,term_removed_refit,surface,32,10.022982140981409,10.924786887936868,0.08202776414032803,0.08849374514626208,4,11823.20188995752
R1_Sn,term_removed_refit,coulomb,32,22.393192306628443,24.111642247713476,0.18452958384610568,0.19768533017314965,4,2176.5504505636254
R1_Sn,term_removed_refit,asymmetry,32,17.26021652974256,18.579341386332587,0.14772530415970253,0.16029459357853468,4,11828.53632338809
R1_Sn,term_removed_refit,pairing,32,4.65061224812586,6.475910446690211,0.037374675820816716,0.05073507865952751,4,1375.4514943287681
R1_Ni,full,none,22,1.7496697249020976,2.067592006956418,0.029118297406966386,0.03531246488950977,5,11882.267337284467
R1_Ni,term_removed_refit,surface,22,15.736943373036807,16.85501417915307,0.2609727690775443,0.291156484441413,4,11873.768347061712
R1_Ni,term_removed_refit,coulomb,22,20.537643665848723,24.244023513364347,0.34768320318635715,0.43368017191465696,4,2188.5632981111876
R1_Ni,term_removed_refit,asymmetry,22,18.312477702431654,20.882394305131598,0.30102487905923864,0.35562528783363473,4,11878.696065546956
R1_Ni,term_removed_refit,pairing,22,1.9969830580469028,2.5072765977701104,0.03363286507738125,0.043532269276103486,4,1383.9993606615565
R1_Pb,full,none,38,3.775143038896688,4.737966312897875,0.018807171980268045,0.02327009994629093,5,11656.88910030865
