Method,MAE (MeV),RMSE (MeV),G vs data-only,95% CI for G
SEMF physics only,1.4469224480841198,2.566688593350745,,
BWN shell-aware (retrospective),0.7764232331768542,0.9710912950758748,,
RIDGE data only,2.6484241813628575,3.0736378748281865,1.0,-
RIDGE soft,2.6484241813628575,3.0736378748281865,1.0,"[1.000, 1.000]"
RIDGE residual,2.5887870265239026,3.028765591363161,1.0230367172841688,"[0.980, 1.072]"
RIDGE adaptive,1.798369864043454,2.133077188829309,1.472680472641007,"[1.288, 1.668]"
HGB data only,5.7102262352073145,6.693792518244035,1.0,-
HGB soft,2.3415504711283943,2.716917219975772,2.4386517846252334,"[2.136, 2.781]"
HGB residual,0.5741132719001353,0.761207474267106,9.946166574948272,"[8.023, 12.643]"
HGB adaptive,2.862965268258567,3.3947170762990355,1.9945146727821217,"[1.824, 2.177]"
MLP data only,5.024513604137833,7.132389583917017,1.0,-
MLP soft,2.2117969909122706,2.8607909160315046,2.2716884166052864,"[1.924, 2.609]"
MLP residual,0.6538561227258926,0.880884213396559,7.68443305721585,"[5.600, 10.334]"
MLP adaptive,2.5803665242072187,3.4354005253058353,1.9472092654285011,"[1.712, 2.165]"
