Regime,N test,Family,Mechanism,Data-only MAE,Physics+ML MAE,G,G 95% CI
Random,468,HGB,soft,2.2217380924534584,1.601313770711166,1.3874470657095226,"[1.253, 1.529]"
Random,468,HGB,residual,2.2217380924534584,0.3324890536027962,6.682139061058021,"[5.934, 7.541]"
Random,468,MLP,soft,2.41067509798992,1.8774862489886293,1.283990814467222,"[1.183, 1.394]"
Random,468,MLP,residual,2.41067509798992,0.4779401868995703,5.043884494476451,"[4.401, 5.833]"
Ca chain,19,HGB,soft,2.9685235113235326,2.088815457412029,1.4211516392172971,"[1.016, 2.074]"
Ca chain,19,HGB,residual,2.9685235113235326,0.5453929485957204,5.442907758464602,"[3.641, 8.943]"
Ca chain,19,MLP,soft,2.2845650660898937,2.4172480813084456,0.9451098891154228,"[0.709, 1.299]"
Ca chain,19,MLP,residual,2.2845650660898937,1.942219818779207,1.1762649335572477,"[0.873, 1.670]"
Sn chain,32,HGB,soft,1.8599508517908452,3.0204946826097583,0.6157768998897282,"[0.448, 0.886]"
Sn chain,32,HGB,residual,1.8599508517908452,1.024841209258625,1.8148673521201808,"[1.429, 2.255]"
Sn chain,32,MLP,soft,2.625340019021614,3.49579029920179,0.751000430323601,"[0.620, 0.917]"
Sn chain,32,MLP,residual,2.625340019021614,0.9717905201860476,2.701549320031438,"[2.170, 3.210]"
Ni chain,22,HGB,soft,2.42626654409299,1.1257695496386786,2.1552071157651334,"[1.315, 3.506]"
Ni chain,22,HGB,residual,2.42626654409299,0.7291784337013599,3.3273975641011404,"[2.321, 4.538]"
Ni chain,22,MLP,soft,2.522808804213686,1.4765947747045258,1.708531580520128,"[1.231, 2.379]"
Ni chain,22,MLP,residual,2.522808804213686,1.7233186632251922,1.4639247273584604,"[0.941, 2.222]"
Pb chain,38,HGB,soft,1.9486882327433332,2.4470384912014027,0.7963455580082035,"[0.564, 1.190]"
Pb chain,38,HGB,residual,1.9486882327433332,0.5084226454474255,3.832811638491113,"[2.813, 5.258]"
Pb chain,38,MLP,soft,3.431315198666234,2.867697429751645,1.1965401799601294,"[0.891, 1.680]"
Pb chain,38,MLP,residual,3.431315198666234,0.6879687325432123,4.9876034132855125,"[3.652, 7.163]"
Neutron-rich,491,HGB,soft,8.788289489917283,3.090282226938724,2.8438468866395685,"[2.680, 3.014]"
Neutron-rich,491,HGB,residual,8.788289489917283,1.1903308825578778,7.383064338406735,"[6.671, 8.174]"
Neutron-rich,491,MLP,soft,9.026698266065925,3.707967192815168,2.434406184487479,"[2.314, 2.561]"
Neutron-rich,491,MLP,residual,9.026698266065925,0.790448754715248,11.419713437739183,"[10.124, 12.909]"
Proton-rich,491,HGB,soft,11.716032753549255,3.7444462143183217,3.1289093454590238,"[3.038, 3.228]"
Proton-rich,491,HGB,residual,11.716032753549255,1.060023575743113,11.05261526408591,"[10.148, 12.070]"
Proton-rich,491,MLP,soft,11.74840523652919,3.826510371373177,3.070266142337195,"[2.981, 3.162]"
Proton-rich,491,MLP,residual,11.74840523652919,1.6359869263721498,7.181234181731289,"[6.264, 8.306]"
Magic +/-1,524,HGB,soft,2.712131019778675,2.427136347064553,1.1174201330134594,"[1.014, 1.229]"
Magic +/-1,524,HGB,residual,2.712131019778675,1.1527213639781235,2.352807108926061,"[2.127, 2.583]"
Magic +/-1,524,MLP,soft,3.07203394633094,3.079649386980893,0.9975271728391722,"[0.945, 1.051]"
Magic +/-1,524,MLP,residual,3.07203394633094,1.462400284121692,2.100679259766408,"[1.944, 2.271]"
N=50,19,HGB,soft,1.6992229809835937,2.3357750389074656,0.7274771554106457,"[0.501, 1.000]"
N=50,19,HGB,residual,1.6992229809835937,1.2585220093506235,1.3501734322948904,"[1.007, 1.725]"
N=50,19,MLP,soft,2.6677706786328934,2.997222993335509,0.8900808129941713,"[0.666, 1.164]"
N=50,19,MLP,residual,2.6677706786328934,1.9290091503810105,1.3829746106211915,"[1.136, 1.698]"
N=82,22,HGB,soft,2.081428779034478,4.017028658471852,0.5181513392105821,"[0.404, 0.676]"
N=82,22,HGB,residual,2.081428779034478,1.0619845455278103,1.959942626095373,"[1.550, 2.404]"
N=82,22,MLP,soft,4.32648494663217,4.847401675443373,0.8925369169528216,"[0.721, 1.084]"
N=82,22,MLP,residual,4.32648494663217,1.2348708095322536,3.503593180140814,"[2.759, 4.334]"
N=126,14,HGB,soft,4.077477680195151,4.928190850321569,0.8273782010550772,"[0.702, 0.985]"
N=126,14,HGB,residual,4.077477680195151,0.6266148181780247,6.507151701345047,"[4.311, 11.144]"
N=126,14,MLP,soft,4.785304841255311,5.18987894820899,0.9220455600234576,"[0.805, 1.046]"
N=126,14,MLP,residual,4.785304841255311,1.0773464645694568,4.441751097375788,"[3.596, 5.430]"
Light stress,509,HGB,soft,2.944100334194132,1.908494984862631,1.542629327059008,"[1.414, 1.673]"
Light stress,509,HGB,residual,2.944100334194132,0.4731223611437297,6.222703841511613,"[5.215, 7.545]"
Light stress,509,MLP,soft,2.065329764521458,1.9171545527405611,1.0772891322554463,"[0.987, 1.173]"
Light stress,509,MLP,residual,2.065329764521458,0.5676422317051544,3.638435706796098,"[3.199, 4.131]"
