Family,Mechanism,Observable,N,G
HGB,soft,B,32,0.6157768998897281
HGB,soft,B/A,32,0.6414078963731541
HGB,soft,Sn,31,1.6860244612324509
HGB,soft,S2n,30,1.4008339376342622
HGB,soft,delta2n,28,2.0240035996719743
HGB,residual,B,32,1.814867352120181
HGB,residual,B/A,32,1.837230405674187
HGB,residual,Sn,31,4.9959091717900685
HGB,residual,S2n,30,5.563556784619819
HGB,residual,delta2n,28,5.200664927912325
MLP,soft,B,32,0.751000430323601
MLP,soft,B/A,32,0.7626342545929321
MLP,soft,Sn,31,1.0705710417403915
MLP,soft,S2n,30,1.0176913840111297
MLP,soft,delta2n,28,1.4740361501177053
MLP,residual,B,32,2.7015493200314378
MLP,residual,B/A,32,2.6938882103501096
MLP,residual,Sn,31,3.239737338335713
MLP,residual,S2n,30,5.100107606748977
MLP,residual,delta2n,28,3.6928695879404194
